"",BBFN1.M.DE.N.1.L.JP.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.JP.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from credit terms used / Total / Japan,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:26:53,
1994-07,.,No value available
1994-08,.,No value available
1994-09,.,No value available
1994-10,.,No value available
1994-11,.,No value available
1994-12,2.735,
1995-01,2.579,
1995-02,2.510,
1995-03,2.596,
1995-04,2.588,
1995-05,2.580,
1995-06,2.637,
1995-07,2.596,
1995-08,2.570,
1995-09,2.748,
1995-10,2.751,
1995-11,2.746,
1995-12,2.745,
1996-01,2.529,
1996-02,2.605,
1996-03,2.610,
1996-04,2.667,
1996-05,2.509,
1996-06,2.484,
1996-07,2.358,
1996-08,2.288,
1996-09,2.320,
1996-10,2.367,
1996-11,2.373,
1996-12,2.442,
1997-01,2.421,
1997-02,2.386,
1997-03,2.494,
1997-04,2.427,
1997-05,2.485,
1997-06,2.569,
1997-07,2.574,
1997-08,2.639,
1997-09,2.846,
1997-10,2.994,
1997-11,2.983,
1997-12,3.062,
1998-01,3.095,
1998-02,3.059,
1998-03,3.092,
1998-04,3.003,
1998-05,2.961,
1998-06,2.935,
1998-07,2.945,
1998-08,2.868,
1998-09,2.921,
1998-10,2.930,
1998-11,2.900,
1998-12,2.876,
1999-01,2.674,
1999-02,2.930,
1999-03,3.065,
1999-04,3.060,
1999-05,2.920,
1999-06,2.935,
1999-07,2.868,
1999-08,2.932,
1999-09,3.227,
1999-10,3.231,
1999-11,3.203,
1999-12,3.527,
2000-01,3.395,
2000-02,3.531,
2000-03,3.974,
2000-04,3.909,
2000-05,3.780,
2000-06,3.992,
2000-07,3.981,
2000-08,4.041,
2000-09,4.253,
2000-10,4.389,
2000-11,4.309,
2000-12,4.438,
2001-01,4.151,
2001-02,3.999,
2001-03,4.298,
2001-04,4.233,
2001-05,4.024,
2001-06,4.032,
2001-07,3.824,
2001-08,3.624,
2001-09,3.933,
2001-10,3.981,
2001-11,3.929,
2001-12,3.950,
2002-01,3.671,
2002-02,3.562,
2002-03,3.652,
2002-04,3.483,
2002-05,3.418,
2002-06,3.422,
2002-07,3.339,
2002-08,3.385,
2002-09,3.520,
2002-10,3.490,
2002-11,3.560,
2002-12,3.633,
2003-01,3.417,
2003-02,3.331,
2003-03,3.571,
2003-04,3.610,
2003-05,3.613,
2003-06,3.739,
2003-07,3.569,
2003-08,3.638,
2003-09,3.853,
2003-10,3.871,
2003-11,3.903,
2003-12,3.936,
2004-01,3.872,
2004-02,3.701,
2004-03,3.884,
2004-04,3.863,
2004-05,3.859,
2004-06,4.014,
2004-07,3.883,
2004-08,3.781,
2004-09,4.004,
2004-10,4.088,
2004-11,4.233,
2004-12,4.182,
2005-01,3.939,
2005-02,3.830,
2005-03,4.032,
2005-04,3.896,
2005-05,3.558,
2005-06,3.612,
2005-07,3.535,
2005-08,3.503,
2005-09,3.772,
2005-10,4.020,
2005-11,4.035,
2005-12,3.946,
2006-01,3.677,
2006-02,3.618,
2006-03,3.803,
2006-04,3.722,
2006-05,3.756,
2006-06,3.945,
2006-07,3.812,
2006-08,3.847,
2006-09,3.971,
2006-10,4.064,
2006-11,4.125,
2006-12,4.274,
2007-01,4.133,
2007-02,4.055,
2007-03,4.321,
2007-04,4.230,
2007-05,4.236,
2007-06,4.531,
2007-07,4.343,
2007-08,4.308,
2007-09,4.671,
2007-10,4.824,
2007-11,4.988,
2007-12,5.152,
2008-01,4.928,
2008-02,4.773,
2008-03,5.011,
2008-04,4.766,
2008-05,4.705,
2008-06,4.857,
2008-07,4.814,
2008-08,4.778,
2008-09,5.090,
2008-10,5.268,
2008-11,5.201,
2008-12,5.212,
2009-01,4.704,
2009-02,4.258,
2009-03,4.009,
2009-04,3.871,
2009-05,3.936,
2009-06,3.925,
2009-07,3.923,
2009-08,3.806,
2009-09,3.800,
2009-10,4.168,
2009-11,4.425,
2009-12,4.161,
2010-01,3.875,
2010-02,3.580,
2010-03,3.791,
2010-04,3.721,
2010-05,3.741,
2010-06,3.852,
2010-07,3.774,
2010-08,3.890,
2010-09,4.302,
2010-10,4.466,
2010-11,4.598,
2010-12,4.680,
2011-01,4.328,
2011-02,4.416,
2011-03,4.557,
2011-04,4.565,
2011-05,4.467,
2011-06,4.411,
2011-07,4.197,
2011-08,4.167,
2011-09,4.699,
2011-10,5.013,
2011-11,4.985,
2011-12,5.130,
2012-01,4.628,
2012-02,4.581,
2012-03,4.695,
2012-04,4.542,
2012-05,4.412,
2012-06,4.394,
2012-07,4.215,
2012-08,4.203,
2012-09,4.462,
2012-10,4.592,
2012-11,4.887,
2012-12,4.927,
2013-01,4.581,
2013-02,4.192,
2013-03,4.105,
2013-04,3.913,
2013-05,4.122,
2013-06,4.174,
2013-07,4.069,
2013-08,4.097,
2013-09,4.378,
2013-10,4.619,
2013-11,4.504,
2013-12,4.753,
2014-01,4.484,
2014-02,4.044,
2014-03,3.957,
2014-04,4.110,
2014-05,4.186,
2014-06,4.170,
2014-07,4.089,
2014-08,4.032,
2014-09,4.184,
2014-10,4.358,
2014-11,4.338,
2014-12,4.460,
