"",BBK01.OEAD40N,BBK01.OEAD40N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:38,
2002-01,2.747,
2002-04,2.722,
2002-07,2.687,
2002-10,2.613,
2003-01,2.536,
2003-04,2.501,
2003-07,2.529,
2003-10,2.514,
2004-01,2.441,
2004-04,2.390,
2004-07,2.363,
2004-10,2.225,
2005-01,2.199,
2005-04,2.198,
2005-07,2.170,
2005-10,2.100,
2006-01,2.133,
2006-04,2.091,
2006-07,2.087,
2006-10,2.060,
2007-01,2.060,
2007-04,2.028,
2007-07,2.005,
2007-10,2.028,
2008-01,2.106,
2008-04,2.147,
2008-07,2.133,
2008-10,2.126,
2009-01,2.136,
2009-04,2.122,
2009-07,2.138,
2009-10,2.017,
2010-01,2.023,
2010-04,2.038,
2010-07,2.212,
2010-10,2.174,
2011-01,2.095,
2011-04,2.092,
2011-07,2.047,
2011-10,1.957,
2012-01,1.947,
2012-04,1.909,
2012-07,1.904,
2012-10,1.878,
2013-01,1.844,
2013-04,1.857,
2013-07,1.876,
2013-10,1.832,
2014-01,1.816,
2014-04,1.806,
2014-07,1.797,
