"",BBSF2.M.1.P.00000.TOT01.I.F.AKT.LU.00000.F05100.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.AKT.LU.00000.F05100.Z01.00_FLAGS
"",Public funds / Funds total / Shares / Luxembourg,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:44:51,
2009-09,518,
2009-10,446,
2009-11,482,
2009-12,622,
2010-01,550,
2010-02,595,
2010-03,661,
2010-04,592,
2010-05,505,
2010-06,457,
2010-07,475,
2010-08,459,
2010-09,482,
2010-10,521,
2010-11,544,
2010-12,631,
2011-01,592,
2011-02,566,
2011-03,554,
2011-04,554,
2011-05,504,
2011-06,526,
2011-07,498,
2011-08,365,
2011-09,315,
2011-10,365,
2011-11,330,
2011-12,345,
2012-01,344,
2012-02,350,
2012-03,339,
2012-04,339,
2012-05,284,
2012-06,302,
2012-07,316,
2012-08,305,
2012-09,331,
2012-10,331,
2012-11,319,
2012-12,335,
2013-01,342,
2013-02,340,
2013-03,350,
2013-04,430,
2013-05,448,
2013-06,409,
2013-07,440,
2013-08,432,
2013-09,425,
2013-10,508,
2013-11,564,
2013-12,601,
2014-01,600,
2014-02,597,
2014-03,582,
2014-04,562,
2014-05,601,
2014-06,768,
2014-07,722,
2014-08,757,
2014-09,711,
2014-10,698,
2014-11,726,
