"",BBK01.OECK02O,BBK01.OECK02O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:08:46,
2002-01,0.163,
2002-04,0.181,
2002-07,0.190,
2002-10,0.195,
2003-01,0.244,
2003-04,0.191,
2003-07,0.186,
2003-10,0.224,
2004-01,0.231,
2004-04,0.196,
2004-07,0.188,
2004-10,0.210,
2005-01,0.226,
2005-04,0.226,
2005-07,0.231,
2005-10,0.239,
2006-01,0.247,
2006-04,0.238,
2006-07,0.220,
2006-10,0.223,
2007-01,0.221,
2007-04,0.231,
2007-07,0.224,
2007-10,0.242,
2008-01,0.220,
2008-04,0.210,
2008-07,0.226,
2008-10,0.279,
2009-01,0.303,
2009-04,0.289,
2009-07,0.316,
2009-10,0.328,
2010-01,0.333,
2010-04,0.334,
2010-07,0.341,
2010-10,0.355,
2011-01,0.347,
2011-04,0.331,
2011-07,0.340,
2011-10,0.337,
2012-01,0.316,
2012-04,0.331,
2012-07,0.348,
2012-10,0.355,
2013-01,0.376,
2013-04,0.365,
2013-07,0.361,
2013-10,0.373,
2014-01,0.373,
2014-04,0.382,
2014-07,0.392,
