"",BBFB1.M.N.DE.W1.S1.S1.T.LI.FA.D.F5___ES._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.LI.FA.D.F5___ES._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Direct investment / Equity / Equity in the narrower sense / New investment / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:50:17,
1991-01,727.800,
1991-02,425.802,
1991-03,275.712,
1991-04,463.649,
1991-05,221.853,
1991-06,392.442,
1991-07,354.611,
1991-08,460.870,
1991-09,292.667,
1991-10,238.424,
1991-11,1095.905,
1991-12,1079.260,
1992-01,1249.835,
1992-02,778.390,
1992-03,794.482,
1992-04,424.982,
1992-05,445.113,
1992-06,424.189,
1992-07,585.740,
1992-08,281.267,
1992-09,286.362,
1992-10,1301.332,
1992-11,830.579,
1992-12,3223.213,
1993-01,738.978,
1993-02,554.042,
1993-03,743.435,
1993-04,406.111,
1993-05,385.466,
1993-06,687.268,
1993-07,409.414,
1993-08,635.338,
1993-09,519.642,
1993-10,779.467,
1993-11,553.642,
1993-12,3794.694,
1994-01,581.473,
1994-02,326.605,
1994-03,513.158,
1994-04,455.923,
1994-05,240.648,
1994-06,557.556,
1994-07,515.887,
1994-08,862.747,
1994-09,644.488,
1994-10,694.793,
1994-11,781.021,
1994-12,3625.680,
1995-01,1324.974,
1995-02,1748.244,
1995-03,404.071,
1995-04,306.604,
1995-05,353.957,
1995-06,742.013,
1995-07,1117.777,
1995-08,600.604,
1995-09,1503.474,
1995-10,1571.286,
1995-11,573.006,
1995-12,3443.178,
1996-01,1591.071,
1996-02,764.689,
1996-03,864.306,
1996-04,742.429,
1996-05,330.597,
1996-06,661.492,
1996-07,1297.195,
1996-08,472.704,
1996-09,570.323,
1996-10,1214.170,
1996-11,742.026,
1996-12,9025.713,
1997-01,1202.090,
1997-02,701.600,
1997-03,495.645,
1997-04,679.892,
1997-05,350.855,
1997-06,1435.944,
1997-07,2403.440,
1997-08,627.361,
1997-09,776.484,
1997-10,1256.523,
1997-11,577.138,
1997-12,5886.722,
1998-01,629.044,
1998-02,2771.124,
1998-03,1364.462,
1998-04,909.571,
1998-05,1695.675,
1998-06,5420.289,
1998-07,907.711,
1998-08,772.743,
1998-09,1303.056,
1998-10,1111.471,
1998-11,1172.998,
1998-12,6762.962,
1999-01,519.798,
1999-02,415.396,
1999-03,3730.641,
1999-04,486.780,
1999-05,689.057,
1999-06,1352.347,
1999-07,1153.543,
1999-08,617.325,
1999-09,3151.009,
1999-10,1103.570,
1999-11,652.246,
1999-12,46384.654,
2000-01,3347.710,
2000-02,158907.132,
2000-03,20023.462,
2000-04,3893.594,
2000-05,1258.934,
2000-06,17495.602,
2000-07,7366.602,
2000-08,6033.834,
2000-09,4029.920,
2000-10,7614.600,
2000-11,8285.279,
2000-12,88509.488,
2001-01,5688.521,
2001-02,21204.962,
2001-03,8267.903,
2001-04,5196.150,
2001-05,5236.983,
2001-06,3414.060,
2001-07,2549.443,
2001-08,7966.623,
2001-09,2282.747,
2001-10,1261.360,
2001-11,5197.677,
2001-12,21325.923,
2002-01,4078.383,
2002-02,573.210,
2002-03,12952.812,
2002-04,3573.614,
2002-05,5639.789,
2002-06,8844.911,
2002-07,3584.476,
2002-08,4879.055,
2002-09,1756.469,
2002-10,2133.711,
2002-11,1264.104,
2002-12,21185.579,
2003-01,3017.400,
2003-02,803.602,
2003-03,13129.087,
2003-04,1192.302,
2003-05,1775.396,
2003-06,3185.647,
2003-07,2574.652,
2003-08,11950.698,
2003-09,3796.627,
2003-10,1382.413,
2003-11,1874.898,
2003-12,33963.629,
2004-01,5564.935,
2004-02,2071.660,
2004-03,8982.839,
2004-04,1369.114,
2004-05,3882.563,
2004-06,3483.817,
2004-07,2423.630,
2004-08,2630.054,
2004-09,5974.085,
2004-10,4375.514,
2004-11,5405.405,
2004-12,14917.348,
2005-01,3331.673,
2005-02,701.837,
2005-03,2116.260,
2005-04,7897.185,
2005-05,2275.905,
2005-06,2202.780,
2005-07,2760.585,
2005-08,417.765,
