"",BBFB1.Q.N.DE.1A.S1.S1.T.B.CA._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.1A.S1.S1.T.B.CA._Z._Z._Z._T._X.N_FLAGS
"",Current account / Balance of the Current account / International organisations,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:35:01,
1991-01,-216.958,
1991-04,73.061,
1991-07,-117.248,
1991-10,-40.099,
1992-01,-225.619,
1992-04,-100.908,
1992-07,-225.975,
1992-10,-211.592,
1993-01,-316.539,
1993-04,-237.750,
1993-07,-445.910,
1993-10,-569.025,
1994-01,-499.404,
1994-04,-246.048,
1994-07,-430.736,
1994-10,-433.097,
1995-01,-466.169,
1995-04,-279.113,
1995-07,-201.770,
1995-10,-773.389,
1996-01,-618.186,
1996-04,-146.959,
1996-07,-391.676,
1996-10,-241.092,
1997-01,-410.521,
1997-04,-197.818,
1997-07,-397.832,
1997-10,-288.566,
1998-01,-379.603,
1998-04,-11.203,
1998-07,-219.193,
1998-10,-13.743,
1999-01,-297.004,
1999-04,-62.762,
1999-07,-310.142,
1999-10,-97.531,
2000-01,-433.737,
2000-04,-188.891,
2000-07,-426.025,
2000-10,-395.556,
2001-01,-402.748,
2001-04,-113.525,
2001-07,-286.062,
2001-10,128.181,
2002-01,-433.181,
2002-04,45.551,
2002-07,-528.687,
2002-10,-206.505,
2003-01,-707.796,
2003-04,-731.052,
2003-07,-284.497,
2003-10,-89.171,
2004-01,-581.176,
2004-04,-185.138,
2004-07,-137.812,
2004-10,-84.637,
2005-01,-487.597,
2005-04,-395.551,
2005-07,-178.173,
2005-10,-38.635,
2006-01,-370.919,
2006-04,-290.311,
2006-07,-115.135,
2006-10,-458.568,
2007-01,-557.972,
2007-04,-470.340,
2007-07,-458.024,
2007-10,-579.118,
2008-01,-1022.598,
2008-04,-737.452,
2008-07,-420.581,
2008-10,-445.263,
2009-01,-671.642,
2009-04,-221.502,
2009-07,-281.463,
2009-10,-287.220,
2010-01,-951.077,
2010-04,-426.633,
2010-07,-702.267,
2010-10,-493.881,
2011-01,-870.300,
2011-04,-382.417,
2011-07,-489.226,
2011-10,-638.445,
2012-01,-933.891,
2012-04,-752.083,
2012-07,-288.378,
2012-10,-583.175,
2013-01,-1131.229,
2013-04,-507.056,
2013-07,-503.774,
2013-10,-339.264,
2014-01,-816.475,Provisional value
2014-04,-290.359,Provisional value
2014-07,-370.018,Provisional value
