"",BBK01.OEHI08L,BBK01.OEHI08L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:55:10,
2002-01,17.680,
2002-04,17.312,
2002-07,16.875,
2002-10,17.265,
2003-01,17.174,
2003-04,17.306,
2003-07,17.259,
2003-10,17.603,
2004-01,17.679,
2004-04,17.754,
2004-07,17.706,
2004-10,18.076,
2005-01,18.280,
2005-04,18.099,
2005-07,17.929,
2005-10,18.247,
2006-01,18.131,
2006-04,17.878,
2006-07,17.366,
2006-10,16.917,
2007-01,15.914,
2007-04,15.211,
2007-07,14.670,
2007-10,14.362,
2008-01,13.948,
2008-04,13.612,
2008-07,13.139,
2008-10,13.240,
2009-01,13.566,
2009-04,13.863,
2009-07,14.110,
2009-10,14.343,
2010-01,14.555,
2010-04,15.105,
2010-07,15.484,
2010-10,16.065,
2011-01,16.370,
2011-04,16.387,
2011-07,16.260,
2011-10,16.385,
2012-01,16.242,
2012-04,16.262,
2012-07,16.350,
2012-10,16.524,
2013-01,16.657,
2013-04,16.681,
2013-07,16.717,
2013-10,16.794,
2014-01,16.367,
2014-04,15.960,
2014-07,15.754,
