"",BBK01.OEYB06G,BBK01.OEYB06G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:25:23,
2002-01,13.944,
2002-04,14.835,
2002-07,15.287,
2002-10,16.025,
2003-01,14.992,
2003-04,17.071,
2003-07,15.319,
2003-10,16.102,
2004-01,16.423,
2004-04,15.670,
2004-07,13.969,
2004-10,15.497,
2005-01,15.932,
2005-04,16.701,
2005-07,17.947,
2005-10,17.260,
2006-01,18.101,
2006-04,18.036,
2006-07,18.918,
2006-10,17.372,
2007-01,18.335,
2007-04,18.713,
2007-07,22.143,
2007-10,23.275,
2008-01,21.542,
2008-04,22.633,
2008-07,22.894,
2008-10,23.890,
2009-01,26.207,
2009-04,24.191,
2009-07,22.326,
2009-10,21.574,
2010-01,22.012,
2010-04,21.153,
2010-07,22.568,
2010-10,21.128,
2011-01,23.482,
2011-04,22.236,
2011-07,22.712,
2011-10,22.036,
2012-01,24.018,
2012-04,26.008,
2012-07,26.414,
2012-10,20.686,
2013-01,20.875,
2013-04,19.142,
2013-07,14.320,
2013-10,11.100,
2014-01,11.201,
2014-04,11.514,
2014-07,11.022,
