"",BBK01.OEAI01T,BBK01.OEAI01T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:51:08,
2002-01,24.220,
2002-04,24.189,
2002-07,24.327,
2002-10,25.061,
2003-01,24.743,
2003-04,24.310,
2003-07,24.268,
2003-10,24.808,
2004-01,24.738,
2004-04,24.473,
2004-07,24.333,
2004-10,25.167,
2005-01,25.921,
2005-04,25.851,
2005-07,25.958,
2005-10,26.645,
2006-01,26.375,
2006-04,26.496,
2006-07,26.281,
2006-10,27.473,
2007-01,27.223,
2007-04,27.185,
2007-07,27.573,
2007-10,28.252,
2008-01,27.916,
2008-04,28.406,
2008-07,28.281,
2008-10,29.697,
2009-01,29.395,
2009-04,29.139,
2009-07,29.456,
2009-10,30.193,
2010-01,29.763,
2010-04,29.888,
2010-07,29.877,
2010-10,31.011,
2011-01,30.146,
2011-04,30.276,
2011-07,30.975,
2011-10,31.516,
2012-01,31.286,
2012-04,30.925,
2012-07,31.638,
2012-10,32.382,
2013-01,31.820,
2013-04,31.652,
2013-07,32.023,
2013-10,32.602,
2014-01,32.450,
2014-04,32.395,
2014-07,32.848,
