"",BBK01.OEAD10J,BBK01.OEAD10J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:58:19,
2002-01,0.273,
2002-04,0.259,
2002-07,0.311,
2002-10,0.293,
2003-01,0.308,
2003-04,0.305,
2003-07,0.279,
2003-10,0.258,
2004-01,0.251,
2004-04,0.297,
2004-07,0.244,
2004-10,0.228,
2005-01,0.237,
2005-04,0.236,
2005-07,0.231,
2005-10,0.229,
2006-01,0.236,
2006-04,0.252,
2006-07,0.279,
2006-10,0.256,
2007-01,0.291,
2007-04,0.301,
2007-07,0.345,
2007-10,0.384,
2008-01,0.405,
2008-04,0.410,
2008-07,0.436,
2008-10,0.422,
2009-01,0.395,
2009-04,0.405,
2009-07,0.372,
2009-10,0.352,
2010-01,0.270,
2010-04,0.403,
2010-07,0.427,
2010-10,0.465,
2011-01,0.537,
2011-04,0.523,
2011-07,0.496,
2011-10,0.500,
2012-01,0.492,
2012-04,0.562,
2012-07,0.540,
2012-10,0.535,
2013-01,0.525,
2013-04,0.521,
2013-07,0.521,
2013-10,0.544,
2014-01,0.538,
2014-04,0.527,
2014-07,0.521,
