"",BBK01.OEXB24R,BBK01.OEXB24R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:37:54,
2002-01,0.425,
2002-04,0.426,
2002-07,0.440,
2002-10,0.485,
2003-01,0.485,
2003-04,0.479,
2003-07,0.490,
2003-10,0.501,
2004-01,0.515,
2004-04,0.514,
2004-07,0.515,
2004-10,0.524,
2005-01,0.529,
2005-04,0.523,
2005-07,0.521,
2005-10,0.530,
2006-01,0.535,
2006-04,0.533,
2006-07,0.534,
2006-10,0.533,
2007-01,0.530,
2007-04,0.522,
2007-07,0.517,
2007-10,0.485,
2008-01,0.525,
2008-04,0.498,
2008-07,0.489,
2008-10,0.479,
2009-01,0.487,
2009-04,0.478,
2009-07,0.488,
2009-10,0.505,
2010-01,0.638,
2010-04,0.638,
2010-07,0.669,
2010-10,0.721,
2011-01,0.733,
2011-04,0.737,
2011-07,0.733,
2011-10,0.750,
2012-01,0.755,
2012-04,0.764,
2012-07,0.760,
2012-10,0.778,
2013-01,0.770,
2013-04,0.776,
2013-07,0.806,
2013-10,0.834,
2014-01,0.844,
2014-04,0.849,
2014-07,0.846,
