"",BBK01.OECJ03S,BBK01.OECJ03S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:01:27,
2002-01,0.241,
2002-04,0.243,
2002-07,0.238,
2002-10,0.246,
2003-01,0.227,
2003-04,0.211,
2003-07,0.197,
2003-10,0.160,
2004-01,0.150,
2004-04,0.116,
2004-07,0.106,
2004-10,0.147,
2005-01,0.123,
2005-04,0.112,
2005-07,0.114,
2005-10,0.114,
2006-01,0.126,
2006-04,0.103,
2006-07,0.135,
2006-10,0.141,
2007-01,0.164,
2007-04,0.159,
2007-07,0.162,
2007-10,0.168,
2008-01,0.143,
2008-04,0.150,
2008-07,0.163,
2008-10,0.180,
2009-01,0.154,
2009-04,0.133,
2009-07,0.112,
2009-10,0.120,
2010-01,0.109,
2010-04,0.106,
2010-07,0.112,
2010-10,0.112,
2011-01,0.131,
2011-04,0.123,
2011-07,0.127,
2011-10,0.112,
2012-01,0.122,
2012-04,0.123,
2012-07,0.110,
2012-10,0.107,
2013-01,0.086,
2013-04,0.086,
2013-07,0.089,
2013-10,0.102,
2014-01,0.107,
2014-04,0.110,
2014-07,0.117,
