"",BBK01.OECK04U,BBK01.OECK04U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:09:02,
2002-01,0.091,
2002-04,0.090,
2002-07,0.090,
2002-10,0.090,
2003-01,0.093,
2003-04,0.094,
2003-07,0.093,
2003-10,0.088,
2004-01,0.084,
2004-04,0.082,
2004-07,0.082,
2004-10,0.080,
2005-01,0.084,
2005-04,0.082,
2005-07,0.071,
2005-10,0.078,
2006-01,0.085,
2006-04,0.084,
2006-07,0.082,
2006-10,0.077,
2007-01,0.085,
2007-04,0.093,
2007-07,0.107,
2007-10,0.109,
2008-01,0.121,
2008-04,0.138,
2008-07,0.150,
2008-10,0.151,
2009-01,0.126,
2009-04,0.105,
2009-07,0.086,
2009-10,0.065,
2010-01,0.056,
2010-04,0.047,
2010-07,0.040,
2010-10,0.037,
2011-01,0.039,
2011-04,0.041,
2011-07,0.031,
2011-10,0.041,
2012-01,0.047,
2012-04,0.041,
2012-07,0.033,
2012-10,0.015,
2013-01,0.009,
2013-04,0.008,
2013-07,0.007,
2013-10,0.006,
2014-01,0.005,
2014-04,0.006,
2014-07,0.006,
