"",BBK01.OECB21T,BBK01.OECB21T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:40:08,
2002-01,0.700,
2002-04,0.704,
2002-07,0.691,
2002-10,0.707,
2003-01,0.705,
2003-04,0.731,
2003-07,0.729,
2003-10,0.688,
2004-01,0.702,
2004-04,0.702,
2004-07,0.702,
2004-10,0.745,
2005-01,0.774,
2005-04,0.772,
2005-07,0.786,
2005-10,0.735,
2006-01,0.736,
2006-04,0.634,
2006-07,0.641,
2006-10,0.626,
2007-01,0.614,
2007-04,0.611,
2007-07,0.592,
2007-10,0.576,
2008-01,0.738,
2008-04,0.760,
2008-07,0.781,
2008-10,0.671,
2009-01,0.674,
2009-04,0.647,
2009-07,0.585,
2009-10,0.396,
2010-01,0.334,
2010-04,0.308,
2010-07,0.520,
2010-10,0.517,
2011-01,0.627,
2011-04,0.602,
2011-07,0.591,
2011-10,0.571,
2012-01,0.562,
2012-04,0.544,
2012-07,0.475,
2012-10,0.449,
2013-01,0.980,
2013-04,0.430,
2013-07,0.411,
2013-10,0.366,
2014-01,0.651,
2014-04,0.642,
2014-07,0.676,
