"",BBK01.OECJ04U,BBK01.OECJ04U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:01:34,
2002-01,0.278,
2002-04,0.253,
2002-07,0.265,
2002-10,0.237,
2003-01,0.269,
2003-04,0.220,
2003-07,0.231,
2003-10,0.227,
2004-01,0.235,
2004-04,0.185,
2004-07,0.232,
2004-10,0.236,
2005-01,0.199,
2005-04,0.201,
2005-07,0.223,
2005-10,0.247,
2006-01,0.220,
2006-04,0.261,
2006-07,0.261,
2006-10,0.282,
2007-01,0.308,
2007-04,0.297,
2007-07,0.346,
2007-10,0.362,
2008-01,0.389,
2008-04,0.444,
2008-07,0.436,
2008-10,0.315,
2009-01,0.294,
2009-04,0.361,
2009-07,0.299,
2009-10,0.267,
2010-01,0.285,
2010-04,0.277,
2010-07,0.249,
2010-10,0.273,
2011-01,0.322,
2011-04,0.343,
2011-07,0.336,
2011-10,0.347,
2012-01,0.454,
2012-04,0.401,
2012-07,0.352,
2012-10,0.301,
2013-01,0.201,
2013-04,0.258,
2013-07,0.236,
2013-10,0.228,
2014-01,0.222,
2014-04,0.237,
2014-07,0.203,
