"",BBK01.OEAD23H,BBK01.OEAD23H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:57:51,
2002-01,0.156,
2002-04,0.151,
2002-07,0.178,
2002-10,0.174,
2003-01,0.171,
2003-04,0.161,
2003-07,0.173,
2003-10,0.166,
2004-01,0.163,
2004-04,0.170,
2004-07,0.168,
2004-10,0.174,
2005-01,0.164,
2005-04,0.149,
2005-07,0.148,
2005-10,0.144,
2006-01,0.146,
2006-04,0.125,
2006-07,0.141,
2006-10,0.166,
2007-01,0.171,
2007-04,0.165,
2007-07,0.149,
2007-10,0.147,
2008-01,0.136,
2008-04,0.133,
2008-07,0.144,
2008-10,0.138,
2009-01,0.096,
2009-04,0.102,
2009-07,0.108,
2009-10,0.100,
2010-01,0.116,
2010-04,0.111,
2010-07,0.119,
2010-10,0.162,
2011-01,0.149,
2011-04,0.140,
2011-07,0.181,
2011-10,0.180,
2012-01,0.175,
2012-04,0.164,
2012-07,0.155,
2012-10,0.143,
2013-01,0.143,
2013-04,0.135,
2013-07,0.135,
2013-10,0.140,
2014-01,0.126,
2014-04,0.137,
2014-07,0.134,
