"",BBK01.OEAA46R,BBK01.OEAA46R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:19:50,
2002-01,0.044,
2002-04,0.047,
2002-07,0.046,
2002-10,0.062,
2003-01,0.046,
2003-04,0.035,
2003-07,0.035,
2003-10,0.040,
2004-01,0.037,
2004-04,0.039,
2004-07,0.048,
2004-10,0.051,
2005-01,0.048,
2005-04,0.047,
2005-07,0.044,
2005-10,0.043,
2006-01,0.045,
2006-04,0.044,
2006-07,0.041,
2006-10,0.025,
2007-01,0.029,
2007-04,0.078,
2007-07,0.078,
2007-10,0.066,
2008-01,0.015,
2008-04,0.018,
2008-07,0.029,
2008-10,0.025,
2009-01,0.029,
2009-04,0.048,
2009-07,0.048,
2009-10,0.058,
2010-01,0.089,
2010-04,0.085,
2010-07,0.029,
2010-10,0.098,
2011-01,0.099,
2011-04,0.104,
2011-07,0.104,
2011-10,0.122,
2012-01,0.120,
2012-04,0.124,
2012-07,0.121,
2012-10,0.097,
2013-01,0.136,
2013-04,0.138,
2013-07,0.257,
2013-10,0.244,
2014-01,0.248,
2014-04,0.227,
2014-07,0.225,
