"",BBSF2.M.1.S.A0000.GEF01.I.F.MAK.Z5.00000.000000.Z01.00,BBSF2.M.1.S.A0000.GEF01.I.F.MAK.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Mixed funds / Net sales receipts / Non-residents / Distribution and cumulative funds,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:52:52,
2004-01,-,Nothing exists
2004-02,-,Nothing exists
2004-03,-,Nothing exists
2004-04,-,Nothing exists
2004-05,-,Nothing exists
2004-06,-,Nothing exists
2004-07,-,Nothing exists
2004-08,-,Nothing exists
2004-09,-,Nothing exists
2004-10,-,Nothing exists
2004-11,-,Nothing exists
2004-12,-,Nothing exists
2005-01,-,Nothing exists
2005-02,-,Nothing exists
2005-03,-,Nothing exists
2005-04,-,Nothing exists
2005-05,-,Nothing exists
2005-06,-,Nothing exists
2005-07,-,Nothing exists
2005-08,50,
2005-09,-,Nothing exists
2005-10,25,
2005-11,138,
2005-12,24,
2006-01,-,Nothing exists
2006-02,-,Nothing exists
2006-03,-,Nothing exists
2006-04,-55,
2006-05,-1,
2006-06,29,
2006-07,-1,
2006-08,-,Nothing exists
2006-09,-19,
2006-10,-3,
2006-11,-4,
2006-12,119,
2007-01,-3,
2007-02,-2,
2007-03,-2,
2007-04,-3,
2007-05,-2,
2007-06,-2,
2007-07,-2,
2007-08,-7,
2007-09,-13,
2007-10,-5,
2007-11,-1,
2007-12,-27,
2008-01,-109,
2008-02,-,Nothing exists
2008-03,-,Nothing exists
2008-04,3,
2008-05,-,Nothing exists
2008-06,-6,
2008-07,-,Nothing exists
2008-08,14,
2008-09,-12,
2008-10,-4,
2008-11,-43,
2008-12,-116,
2009-01,-25,
2009-02,-11,
2009-03,2,
2009-04,797,
2009-05,39,
2009-06,-783,
2009-07,173,
2009-08,-5,
2009-09,11,
2009-10,7,
2009-11,36,
2009-12,-17,
2010-01,5,
2010-02,-11,
2010-03,-3,
2010-04,-15,
2010-05,-13,
2010-06,-26,
2010-07,12,
2010-08,-13,
2010-09,-2,
2010-10,4,
2010-11,1,
2010-12,-132,
2011-01,6,
2011-02,2,
2011-03,-4,
2011-04,9,
2011-05,-5,
2011-06,28,
2011-07,-2,
2011-08,0,
2011-09,-4,
2011-10,3,
2011-11,-1,
2011-12,-3,
2012-01,1,
2012-02,-3,
2012-03,0,
2012-04,-5,
2012-05,4,
2012-06,-7,
2012-07,-6,
2012-08,44,
2012-09,-12,
2012-10,-6,
2012-11,-6,
2012-12,0,
2013-01,-2,
2013-02,13,
2013-03,-1,
2013-04,-1,
2013-05,-3,
2013-06,-,Nothing exists
2013-07,-,Nothing exists
2013-08,-,Nothing exists
2013-09,15,
2013-10,-,Nothing exists
2013-11,-32,
2013-12,-,Nothing exists
2014-01,7,
2014-02,-2,
2014-03,-,Nothing exists
2014-04,-,Nothing exists
2014-05,-,Nothing exists
2014-06,-11,
2014-07,2,
2014-08,-,Nothing exists
2014-09,4,
2014-10,-,Nothing exists
2014-11,-,Nothing exists
