"",BBK01.OEAN03H,BBK01.OEAN03H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:11:49,
2002-01,30.576,
2002-04,29.427,
2002-07,28.904,
2002-10,29.651,
2003-01,30.463,
2003-04,31.098,
2003-07,25.177,
2003-10,25.166,
2004-01,24.638,
2004-04,24.823,
2004-07,24.310,
2004-10,25.119,
2005-01,25.361,
2005-04,25.485,
2005-07,26.601,
2005-10,25.921,
2006-01,25.680,
2006-04,24.824,
2006-07,24.315,
2006-10,23.843,
2007-01,23.644,
2007-04,21.284,
2007-07,19.767,
2007-10,19.440,
2008-01,18.716,
2008-04,17.750,
2008-07,16.880,
2008-10,16.785,
2009-01,17.120,
2009-04,18.038,
2009-07,18.724,
2009-10,19.640,
2010-01,20.336,
2010-04,20.533,
2010-07,20.792,
2010-10,21.120,
2011-01,21.523,
2011-04,21.598,
2011-07,21.404,
2011-10,22.657,
2012-01,24.068,
2012-04,24.389,
2012-07,24.955,
2012-10,25.132,
2013-01,25.565,
2013-04,25.573,
2013-07,25.500,
2013-10,25.633,
2014-01,25.922,
2014-04,26.363,
2014-07,26.550,
