"",BBK01.OELL02H,BBK01.OELL02H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:17:45,
2002-01,12.805,
2002-04,12.970,
2002-07,12.820,
2002-10,13.446,
2003-01,13.805,
2003-04,14.236,
2003-07,14.393,
2003-10,14.708,
2004-01,14.876,
2004-04,15.282,
2004-07,15.152,
2004-10,15.763,
2005-01,16.084,
2005-04,16.372,
2005-07,16.459,
2005-10,16.877,
2006-01,17.107,
2006-04,17.208,
2006-07,17.123,
2006-10,17.572,
2007-01,17.984,
2007-04,18.370,
2007-07,18.446,
2007-10,19.025,
2008-01,18.859,
2008-04,18.980,
2008-07,18.651,
2008-10,20.237,
2009-01,22.344,
2009-04,24.599,
2009-07,25.844,
2009-10,27.307,
2010-01,28.175,
2010-04,28.989,
2010-07,29.295,
2010-10,30.300,
2011-01,30.357,
2011-04,30.458,
2011-07,30.464,
2011-10,31.555,
2012-01,32.134,
2012-04,33.343,
2012-07,34.543,
2012-10,36.547,
2013-01,37.578,
2013-04,38.462,
2013-07,39.289,
2013-10,40.972,
2014-01,41.567,
2014-04,42.597,
2014-07,43.550,
