"",BBK01.OEAH67T,BBK01.OEAH67T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:31:01,
2002-01,11.129,
2002-04,10.813,
2002-07,10.819,
2002-10,11.129,
2003-01,11.167,
2003-04,11.067,
2003-07,11.069,
2003-10,11.375,
2004-01,11.363,
2004-04,11.266,
2004-07,11.214,
2004-10,11.450,
2005-01,12.241,
2005-04,12.156,
2005-07,12.121,
2005-10,12.308,
2006-01,12.313,
2006-04,12.202,
2006-07,12.086,
2006-10,12.195,
2007-01,12.229,
2007-04,12.137,
2007-07,12.048,
2007-10,12.260,
2008-01,12.206,
2008-04,12.083,
2008-07,11.933,
2008-10,12.330,
2009-01,12.277,
2009-04,12.152,
2009-07,12.075,
2009-10,12.320,
2010-01,12.295,
2010-04,12.221,
2010-07,12.227,
2010-10,12.501,
2011-01,12.586,
2011-04,12.546,
2011-07,12.491,
2011-10,12.616,
2012-01,12.703,
2012-04,12.635,
2012-07,12.628,
2012-10,12.785,
2013-01,12.783,
2013-04,12.702,
2013-07,12.694,
2013-10,12.746,
2014-01,12.721,
2014-04,12.678,
2014-07,12.731,
