"",BBFN1.M.DE.N.1.A.PA.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.PA.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from credit terms granted / Total / Panama,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:23:55,
1994-07,0.080,
1994-08,0.066,
1994-09,0.084,
1994-10,0.111,
1994-11,0.083,
1994-12,0.078,
1995-01,0.084,
1995-02,0.051,
1995-03,0.054,
1995-04,0.054,
1995-05,0.059,
1995-06,0.059,
1995-07,0.064,
1995-08,0.066,
1995-09,0.064,
1995-10,0.073,
1995-11,0.064,
1995-12,0.060,
1996-01,0.095,
1996-02,0.075,
1996-03,0.108,
1996-04,0.148,
1996-05,0.140,
1996-06,0.129,
1996-07,0.156,
1996-08,0.130,
1996-09,0.126,
1996-10,0.161,
1996-11,0.164,
1996-12,0.098,
1997-01,0.099,
1997-02,0.102,
1997-03,0.105,
1997-04,0.097,
1997-05,0.114,
1997-06,0.103,
1997-07,0.115,
1997-08,0.206,
1997-09,0.119,
1997-10,0.134,
1997-11,0.132,
1997-12,0.095,
1998-01,0.116,
1998-02,0.126,
1998-03,0.144,
1998-04,0.108,
1998-05,0.124,
1998-06,0.087,
1998-07,0.093,
1998-08,0.100,
1998-09,0.120,
1998-10,0.152,
1998-11,0.130,
1998-12,0.125,
1999-01,0.124,
1999-02,0.100,
1999-03,0.116,
1999-04,0.122,
1999-05,0.128,
1999-06,0.118,
1999-07,0.147,
1999-08,0.132,
1999-09,0.136,
1999-10,0.144,
1999-11,0.141,
1999-12,0.149,
2000-01,0.147,
2000-02,0.138,
2000-03,0.162,
2000-04,0.150,
2000-05,0.132,
2000-06,0.138,
2000-07,0.139,
2000-08,0.134,
2000-09,0.164,
2000-10,0.062,
2000-11,0.066,
2000-12,0.064,
2001-01,0.057,
2001-02,0.055,
2001-03,0.055,
2001-04,0.057,
2001-05,0.059,
2001-06,0.055,
2001-07,0.057,
2001-08,0.053,
2001-09,0.059,
2001-10,0.056,
2001-11,0.055,
2001-12,0.059,
2002-01,0.052,
2002-02,0.052,
2002-03,0.047,
2002-04,0.046,
2002-05,0.044,
2002-06,0.044,
2002-07,0.044,
2002-08,0.049,
2002-09,0.045,
2002-10,0.046,
2002-11,0.040,
2002-12,0.043,
2003-01,0.038,
2003-02,0.052,
2003-03,0.053,
2003-04,0.052,
2003-05,0.039,
2003-06,0.040,
2003-07,0.040,
2003-08,0.041,
2003-09,0.039,
2003-10,0.040,
2003-11,0.051,
2003-12,0.035,
2004-01,0.040,
2004-02,0.038,
2004-03,0.036,
2004-04,0.034,
2004-05,0.035,
2004-06,0.038,
2004-07,0.038,
2004-08,0.039,
2004-09,0.046,
2004-10,0.050,
2004-11,0.050,
2004-12,0.045,
2005-01,0.041,
2005-02,0.045,
2005-03,0.044,
2005-04,0.047,
2005-05,0.046,
2005-06,0.059,
2005-07,0.053,
2005-08,0.062,
2005-09,0.060,
2005-10,0.053,
2005-11,0.043,
2005-12,0.041,
2006-01,0.043,
2006-02,0.043,
2006-03,0.036,
2006-04,0.037,
2006-05,0.036,
2006-06,0.037,
2006-07,0.040,
2006-08,0.054,
2006-09,0.055,
2006-10,0.056,
2006-11,0.047,
2006-12,0.043,
2007-01,0.053,
2007-02,0.055,
2007-03,0.047,
2007-04,0.053,
2007-05,0.061,
2007-06,0.064,
2007-07,0.062,
2007-08,0.055,
2007-09,0.057,
2007-10,0.063,
2007-11,0.055,
2007-12,0.054,
2008-01,0.059,
2008-02,0.065,
2008-03,0.058,
2008-04,0.066,
2008-05,0.074,
2008-06,0.087,
2008-07,0.088,
2008-08,0.089,
2008-09,0.084,
2008-10,0.089,
2008-11,0.090,
2008-12,0.087,
2009-01,0.098,
2009-02,0.098,
2009-03,0.097,
2009-04,0.100,
2009-05,0.097,
2009-06,0.092,
2009-07,0.103,
2009-08,0.116,
2009-09,0.109,
2009-10,0.113,
2009-11,0.112,
2009-12,0.113,
2010-01,0.121,
2010-02,0.116,
2010-03,0.119,
2010-04,0.124,
2010-05,0.133,
2010-06,0.127,
2010-07,0.141,
2010-08,0.145,
2010-09,0.139,
2010-10,0.139,
2010-11,0.137,
2010-12,0.119,
2011-01,0.106,
2011-02,0.110,
2011-03,0.108,
2011-04,0.124,
2011-05,0.128,
2011-06,0.133,
2011-07,0.135,
2011-08,0.123,
2011-09,0.132,
2011-10,0.130,
2011-11,0.134,
2011-12,0.131,
2012-01,0.123,
2012-02,0.127,
2012-03,0.128,
2012-04,0.127,
2012-05,0.138,
2012-06,0.135,
2012-07,0.124,
2012-08,0.133,
2012-09,0.124,
2012-10,0.126,
2012-11,0.147,
2012-12,0.134,
2013-01,0.160,
2013-02,0.147,
2013-03,0.080,
2013-04,0.084,
2013-05,0.080,
2013-06,0.080,
2013-07,0.082,
2013-08,0.079,
2013-09,0.083,
2013-10,0.087,
2013-11,0.096,
2013-12,0.078,
2014-01,0.095,
2014-02,0.097,
2014-03,0.095,
2014-04,0.085,
2014-05,0.089,
2014-06,0.079,
2014-07,0.080,
2014-08,0.081,
2014-09,0.097,
2014-10,0.094,
2014-11,0.080,
2014-12,0.084,
