"",BBK01.TVD449,BBK01.TVD449_FLAGS
"",Liabilities to non-euro-area residents / German contribution,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-26 15:21:26,
1980-01,0,
1980-02,518,
1980-03,1166,
1980-04,381,
1980-05,-316,
1980-06,717,
1980-07,-757,
1980-08,882,
1980-09,441,
1980-10,561,
1980-11,524,
1980-12,1242,
1981-01,-1174,
1981-02,224,
1981-03,3117,
1981-04,-1568,
1981-05,752,
1981-06,3,
1981-07,1140,
1981-08,-1254,
1981-09,-323,
1981-10,-730,
1981-11,393,
1981-12,2424,
1982-01,-1820,
1982-02,70,
1982-03,781,
1982-04,-1538,
1982-05,84,
1982-06,1137,
1982-07,314,
1982-08,488,
1982-09,558,
1982-10,-357,
1982-11,-432,
1982-12,1694,
1983-01,-2322,
1983-02,-14,
1983-03,447,
1983-04,-739,
1983-05,709,
1983-06,1786,
1983-07,-463,
1983-08,-207,
1983-09,51,
1983-10,-389,
1983-11,146,
1983-12,1255,
1984-01,-2397,
1984-02,-652,
1984-03,608,
1984-04,1256,
1984-05,561,
1984-06,490,
1984-07,1144,
1984-08,-36,
1984-09,2791,
1984-10,-73,
1984-11,303,
1984-12,3907,
1985-01,-1876,
1985-02,1613,
1985-03,-2372,
1985-04,-43,
1985-05,-1154,
1985-06,1640,
1985-07,-2123,
1985-08,675,
1985-09,89,
1985-10,588,
1985-11,1491,
1985-12,2361,
1986-01,-2043,
1986-02,-788,
1986-03,2215,
1986-04,-690,
1986-05,260,
1986-06,354,
1986-07,-1428,
1986-08,343,
1986-09,4658,
1986-10,550,
1986-11,-1196,
1986-12,1021,
1987-01,-429,
1987-02,-982,
1987-03,708,
1987-04,1252,
1987-05,-79,
1987-06,1738,
1987-07,-131,
1987-08,116,
1987-09,1706,
1987-10,2462,
1987-11,-2422,
1987-12,-431,
1988-01,478,
1988-02,65,
1988-03,1299,
1988-04,-983,
1988-05,1513,
1988-06,2080,
1988-07,3041,
1988-08,1348,
1988-09,-245,
1988-10,-131,
1988-11,-248,
1988-12,-175,
1989-01,1679,
1989-02,972,
1989-03,1977,
1989-04,2584,
1989-05,3947,
1989-06,121,
1989-07,-2378,
1989-08,1129,
1989-09,773,
1989-10,876,
1989-11,99,
1989-12,-66,
1990-01,1826,
1990-02,1824,
1990-03,373,
1990-04,950,
1990-05,246,
1990-06,-6354,
1990-07,1999,
1990-08,505,
1990-09,3236,
1990-10,-1990,
1990-11,-677,
1990-12,1266,
1991-01,391,
1991-02,1458,
1991-03,8301,
1991-04,-1720,
1991-05,-2473,
1991-06,3407,
1991-07,-2050,
1991-08,1634,
1991-09,-2997,
1991-10,2091,
1991-11,-423,
1991-12,-2227,
1992-01,2998,
1992-02,2517,
1992-03,3454,
1992-04,1831,
1992-05,-26,
1992-06,-313,
1992-07,-1720,
1992-08,1158,
1992-09,9440,
1992-10,704,
1992-11,2845,
1992-12,1002,
1993-01,-1746,
1993-02,5294,
1993-03,751,
1993-04,-1077,
1993-05,1709,
1993-06,5087,
1993-07,2186,
1993-08,529,
1993-09,-1751,
1993-10,4155,
1993-11,2858,
1993-12,3154,
1994-01,6293,
1994-02,943,
1994-03,540,
1994-04,2098,
1994-05,397,
1994-06,-2647,
1994-07,1360,
1994-08,3590,
1994-09,-2385,
1994-10,-691,
1994-11,147,
1994-12,8018,
1995-01,-3429,
1995-02,7534,
1995-03,-1732,
1995-04,8282,
1995-05,5396,
1995-06,3734,
1995-07,-732,
1995-08,11290,
1995-09,3032,
1995-10,-1860,
1995-11,-344,
1995-12,-1936,
1996-01,2521,
1996-02,-1427,
1996-03,740,
1996-04,11644,
1996-05,-233,
1996-06,-1277,
1996-07,-9363,
1996-08,-1826,
1996-09,1633,
1996-10,-3193,
1996-11,12854,
1996-12,2307,
1997-01,14069,
1997-02,14260,
1997-03,8636,
1997-04,10671,
1997-05,892,
1997-06,7818,
1997-07,9650,
1997-08,-2061,
1997-09,-4160,
1997-10,19876,
1997-11,7369,
1997-12,618,
1998-01,4697,
1998-02,2400,
1998-03,11522,
1998-04,7414,
1998-05,13801,
1998-06,-1224,
1998-07,-4982,
1998-08,6720,
1998-09,-1381,
1998-10,20078,
1998-11,19811,
1998-12,-208,
1999-01,25833,
1999-02,-9154,
1999-03,11171,
1999-04,8390,
1999-05,5901,
1999-06,-3612,
1999-07,2799,
1999-08,7994,
1999-09,-584,
1999-10,12380,
1999-11,19339,
1999-12,8739,
2000-01,11244,
2000-02,13617,
2000-03,30887,
2000-04,19498,
2000-05,16532,
2000-06,-33356,
2000-07,-881,
2000-08,9268,
2000-09,1195,
2000-10,7550,
2000-11,26063,
2000-12,-3721,
2001-01,29096,
2001-02,13785,
2001-03,66644,
2001-04,6725,
2001-05,1537,
2001-06,-25027,
2001-07,-24881,
2001-08,24664,
2001-09,-3733,
2001-10,-4953,
2001-11,-17156,
2001-12,-32106,
2002-01,15208,
2002-02,-2735,
2002-03,3629,
2002-04,15767,
2002-05,12184,
2002-06,-28174,
2002-07,5474,
2002-08,-2673,
2002-09,12394,
2002-10,-4638,
2002-11,13216,
2002-12,-41946,
2003-01,11133,
2003-02,4428,
2003-03,8140,
2003-04,13743,
2003-05,-7926,
2003-06,-11547,
2003-07,7072,
2003-08,-32413,
2003-09,12062,
2003-10,-10284,
2003-11,7018,
2003-12,3351,
2004-01,12789,
2004-02,19691,
2004-03,14083,
2004-04,6126,
2004-05,-16506,
2004-06,-31000,
2004-07,-6940,
2004-08,2073,
2004-09,23702,
2004-10,-9253,
2004-11,40324,
2004-12,-33367,
2005-01,29627,
2005-02,11491,
2005-03,12161,
2005-04,39659,
2005-05,-3223,
2005-06,-54342,
2005-07,9970,
2005-08,-3641,
2005-09,15087,
2005-10,4682,
2005-11,13078,
2005-12,-52548,
2006-01,24300,
2006-02,12493,
2006-03,9270,
2006-04,1208,
2006-05,9099,
2006-06,-17432,
2006-07,-11413,
2006-08,6715,
2006-09,16686,
2006-10,-1063,
2006-11,-2691,
2006-12,-14773,
2007-01,25981,
2007-02,18973,
2007-03,1403,
2007-04,32502,
2007-05,8911,
2007-06,-33744,
2007-07,-7738,
2007-08,16437,
2007-09,18079,
2007-10,-11860,
2007-11,4954,
2007-12,-25227,
2008-01,22804,
2008-02,20781,
2008-03,17630,
2008-04,23511,
2008-05,-12826,
2008-06,-33997,
2008-07,-5841,
2008-08,310,
2008-09,44701,
2008-10,-26591,
2008-11,-26539,
2008-12,-24035,
2009-01,11857,
2009-02,-13097,
2009-03,-9524,
2009-04,31361,
2009-05,-39653,
2009-06,5437,
2009-07,-4557,
2009-08,-18198,
2009-09,-21266,
2009-10,-7057,
2009-11,803,
2009-12,-31455,
2010-01,26291,
2010-02,6218,
2010-03,12983,
2010-04,47466,
2010-05,49551,
2010-06,-35537,
2010-07,-6562,
