"",BBK01.TXI356,BBK01.TXI356_FLAGS
"",LENDING TO NON-BANKS (NON-MFIS) IN THE EURO AREA / TOTAL / GERMAN CONTRIBUTION,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-26 15:19:20,
1980-01,745678,
1980-02,751699,
1980-03,756941,
1980-04,763740,
1980-05,769323,
1980-06,776737,
1980-07,779225,
1980-08,782805,
1980-09,787884,
1980-10,795002,
1980-11,809000,
1980-12,820730,
1981-01,819797,
1981-02,827788,
1981-03,831825,
1981-04,836198,
1981-05,840010,
1981-06,850298,
1981-07,855905,
1981-08,860613,
1981-09,867047,
1981-10,873032,
1981-11,881359,
1981-12,893253,
1982-01,893763,
1982-02,895248,
1982-03,898847,
1982-04,900790,
1982-05,902285,
1982-06,910243,
1982-07,915329,
1982-08,917445,
1982-09,923985,
1982-10,931366,
1982-11,935173,
1982-12,949818,
1983-01,946596,
1983-02,948364,
1983-03,953565,
1983-04,954914,
1983-05,961038,
1983-06,969929,
1983-07,972779,
1983-08,977457,
1983-09,983603,
1983-10,989571,
1983-11,996807,
1983-12,1010339,
1984-01,1004427,
1984-02,1005809,
1984-03,1009418,
1984-04,1013232,
1984-05,1017410,
1984-06,1024658,
1984-07,1028991,
1984-08,1033737,
1984-09,1042199,
1984-10,1046883,
1984-11,1056182,
1984-12,1067489,
1985-01,1066967,
1985-02,1072813,
1985-03,1078664,
1985-04,1079789,
1985-05,1082781,
1985-06,1088946,
1985-07,1088965,
1985-08,1090246,
1985-09,1095448,
1985-10,1101922,
1985-11,1109542,
1985-12,1132253,
1986-01,1128874,
1986-02,1128557,
1986-03,1133457,
1986-04,1135297,
1986-05,1139931,
1986-06,1147069,
1986-07,1149993,
1986-08,1151526,
1986-09,1155643,
1986-10,1160608,
1986-11,1166217,
1986-12,1174124,
1987-01,1170232,
1987-02,1168708,
1987-03,1170569,
1987-04,1170734,
1987-05,1173894,
1987-06,1179729,
1987-07,1184740,
1987-08,1190378,
1987-09,1198088,
1987-10,1207123,
1987-11,1210409,
1987-12,1218056,
1988-01,1217265,
1988-02,1218743,
1988-03,1224929,
1988-04,1226591,
1988-05,1231707,
1988-06,1243683,
1988-07,1248404,
1988-08,1253850,
1988-09,1261692,
1988-10,1265748,
1988-11,1276366,
1988-12,1285850,
1989-01,1288414,
1989-02,1292583,
1989-03,1296472,
1989-04,1299637,
1989-05,1304406,
1989-06,1313052,
1989-07,1315049,
1989-08,1318740,
1989-09,1328634,
1989-10,1333371,
1989-11,1345472,
1989-12,1361616,
1990-01,1365709,
1990-02,1373961,
1990-03,1382619,
1990-04,1387016,
1990-05,1391889,
1990-06,1526937,
1990-07,1532384,
1990-08,1545322,
1990-09,1563569,
1990-10,1574451,
1990-11,1584283,
1990-12,1609813,
1991-01,1610082,
1991-02,1617821,
1991-03,1636281,
1991-04,1644323,
1991-05,1657089,
1991-06,1674580,
1991-07,1684933,
1991-08,1693743,
1991-09,1705051,
1991-10,1720336,
1991-11,1738361,
1991-12,1764771,
1992-01,1774324,
1992-02,1782652,
1992-03,1794285,
1992-04,1810316,
1992-05,1818669,
1992-06,1838905,
1992-07,1847816,
1992-08,1856715,
1992-09,1861405,
1992-10,1881174,
1992-11,1900713,
1992-12,1915805,
1993-01,1919284,
1993-02,1929392,
1993-03,1945830,
1993-04,1953322,
1993-05,1967578,
1993-06,1983431,
1993-07,1993498,
1993-08,1998407,
1993-09,2020401,
1993-10,2043799,
1993-11,2059338,
1993-12,2095469,
1994-01,2100002,
1994-02,2108696,
1994-03,2128061,
1994-04,2137447,
1994-05,2146352,
1994-06,2164123,
1994-07,2178631,
1994-08,2186818,
1994-09,2201862,
1994-10,2217428,
1994-11,2238426,
1994-12,2261592,
1995-01,2252489,
1995-02,2267228,
1995-03,2275298,
1995-04,2284707,
1995-05,2296709,
1995-06,2309522,
1995-07,2321635,
1995-08,2333418,
1995-09,2351125,
1995-10,2371435,
1995-11,2394996,
1995-12,2419406,
1996-01,2432733,
1996-02,2447774,
1996-03,2465590,
1996-04,2483760,
1996-05,2490517,
1996-06,2499484,
1996-07,2506741,
1996-08,2514485,
1996-09,2523770,
1996-10,2547239,
1996-11,2574539,
1996-12,2604219,
1997-01,2611220,
1997-02,2629934,
1997-03,2649331,
1997-04,2659122,
1997-05,2673179,
1997-06,2681031,
1997-07,2701307,
1997-08,2715300,
1997-09,2720904,
1997-10,2739882,
1997-11,2759274,
1997-12,2769891,
1998-01,2786608,
1998-02,2805391,
1998-03,2833169,
1998-04,2855395,
1998-05,2867601,
1998-06,2874992,
1998-07,2878694,
1998-08,2888320,
1998-09,2894505,
1998-10,2919757,
1998-11,2947961,
1998-12,2987289,
1999-01,2940823,
1999-02,2953286,
1999-03,2983548,
1999-04,2999347,
1999-05,3027396,
1999-06,3024342,
1999-07,3032787,
1999-08,3037965,
1999-09,3061950,
1999-10,3089867,
1999-11,3114421,
1999-12,3131824,
2000-01,3152302,
2000-02,3167243,
2000-03,3206695,
2000-04,3223720,
2000-05,3235611,
2000-06,3201626,
2000-07,3204171,
2000-08,3211334,
2000-09,3218600,
2000-10,3232600,
2000-11,3247111,
2000-12,3254317,
2001-01,3270330,
2001-02,3285830,
2001-03,3313823,
2001-04,3316349,
2001-05,3327492,
2001-06,3300330,
2001-07,3302822,
2001-08,3293593,
2001-09,3288358,
2001-10,3288440,
2001-11,3303851,
2001-12,3321583,
2002-01,3315225,
2002-02,3316349,
2002-03,3315000,
2002-04,3323988,
2002-05,3327707,
2002-06,3309264,
2002-07,3317526,
2002-08,3315345,
2002-09,3327546,
2002-10,3332265,
2002-11,3341070,
2002-12,3344623,
2003-01,3353192,
2003-02,3351828,
2003-03,3351172,
2003-04,3353285,
2003-05,3351627,
2003-06,3334613,
2003-07,3334634,
2003-08,3322706,
2003-09,3337070,
2003-10,3333306,
2003-11,3355357,
2003-12,3337675,
2004-01,3334206,
2004-02,3346276,
2004-03,3374798,
2004-04,3385688,
2004-05,3374190,
2004-06,3364558,
2004-07,3372749,
2004-08,3362133,
2004-09,3365567,
2004-10,3376298,
2004-11,3380907,
2004-12,3363124,
2005-01,3381682,
2005-02,3376722,
2005-03,3384196,
2005-04,3446880,
2005-05,3426554,
2005-06,3397314,
2005-07,3400053,
2005-08,3402155,
2005-09,3407515,
2005-10,3416987,
2005-11,3421571,
2005-12,3412046,
2006-01,3463164,
2006-02,3463118,
2006-03,3478893,
2006-04,3522484,
2006-05,3517980,
2006-06,3486274,
2006-07,3481022,
2006-08,3477086,
2006-09,3497083,
2006-10,3500900,
2006-11,3510888,
2006-12,3466556,
2007-01,3501306,
2007-02,3491765,
2007-03,3500918,
2007-04,3530373,
2007-05,3516334,
2007-06,3488800,
2007-07,3494175,
2007-08,3490267,
2007-09,3497406,
2007-10,3490119,
2007-11,3486758,
2007-12,3491726,
2008-01,3535336,
2008-02,3525696,
2008-03,3565754,
2008-04,3614040,
2008-05,3600593,
2008-06,3581374,
2008-07,3592244,
2008-08,3623913,
2008-09,3627719,
2008-10,3632111,
2008-11,3637446,
2008-12,3642604,
2009-01,3682024,
2009-02,3672240,
2009-03,3673995,
2009-04,3694586,
2009-05,3684926,
2009-06,3698696,
2009-07,3689518,
2009-08,3660266,
2009-09,3679651,
2009-10,3677553,
2009-11,3675644,
2009-12,3642709,
2010-01,3660193,
2010-02,3649611,
2010-03,3638327,
2010-04,3693300,
2010-05,3664388,
2010-06,3680197,
2010-07,3670770,
2010-08,3683284,
2010-09,3659350,
2010-10,3775705,
2010-11,3821966,
2010-12,3742683,
2011-01,3767894,
2011-02,3764385,
2011-03,3730472,
2011-04,3753849,
2011-05,3731456,
2011-06,3706695,
2011-07,3709039,
2011-08,3729524,
2011-09,3744932,
2011-10,3767592,
2011-11,3771275,
2011-12,3720694,
2012-01,3751944,
2012-02,3746736,
2012-03,3751347,
2012-04,3775235,
2012-05,3745167,
2012-06,3752770,
2012-07,3784213,
2012-08,3779056,
2012-09,3785187,
2012-10,3803400,
2012-11,3797969,
2012-12,3745110,
2013-01,3774591,
2013-02,3765699,
2013-03,3766750,
2013-04,3792188,
2013-05,3768829,
2013-06,3766945,
2013-07,3762307,
2013-08,3656303,
2013-09,3650648,
2013-10,3659363,
2013-11,3663813,
2013-12,3643994,
2014-01,3659627,
2014-02,3654553,
2014-03,3658234,
2014-04,3679391,
2014-05,3678963,
2014-06,3670803,
2014-07,3681222,
2014-08,3675735,
2014-09,3688482,
2014-10,3695616,
2014-11,3711195,
2014-12,3696582,
2015-01,3728747,
