"",BBK01.OEAE15T,BBK01.OEAE15T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:06:07,
2002-01,0.080,
2002-04,0.082,
2002-07,0.084,
2002-10,0.079,
2003-01,0.078,
2003-04,0.076,
2003-07,0.127,
2003-10,0.070,
2004-01,0.071,
2004-04,0.073,
2004-07,0.072,
2004-10,0.072,
2005-01,0.070,
2005-04,0.067,
2005-07,0.071,
2005-10,0.062,
2006-01,0.068,
2006-04,0.063,
2006-07,0.066,
2006-10,0.053,
2007-01,0.057,
2007-04,0.055,
2007-07,0.055,
2007-10,0.050,
2008-01,0.051,
2008-04,0.051,
2008-07,0.052,
2008-10,0.049,
2009-01,0.057,
2009-04,0.062,
2009-07,0.060,
2009-10,0.054,
2010-01,0.061,
2010-04,0.054,
2010-07,0.049,
2010-10,0.056,
2011-01,0.051,
2011-04,0.052,
2011-07,0.050,
2011-10,0.050,
2012-01,0.057,
2012-04,0.059,
2012-07,0.055,
2012-10,0.061,
2013-01,0.051,
2013-04,0.056,
2013-07,0.053,
2013-10,0.049,
2014-01,0.050,
2014-04,0.056,
2014-07,0.047,
