"",BBK01.OELB09I,BBK01.OELB09I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:27:31,
2002-01,2.746,
2002-04,2.762,
2002-07,3.037,
2002-10,2.756,
2003-01,2.785,
2003-04,3.006,
2003-07,2.973,
2003-10,2.749,
2004-01,2.870,
2004-04,3.118,
2004-07,3.051,
2004-10,3.060,
2005-01,3.210,
2005-04,3.197,
2005-07,3.225,
2005-10,3.083,
2006-01,3.146,
2006-04,2.635,
2006-07,2.601,
2006-10,2.515,
2007-01,2.618,
2007-04,2.580,
2007-07,2.586,
2007-10,2.528,
2008-01,2.600,
2008-04,2.580,
2008-07,2.685,
2008-10,2.736,
2009-01,2.798,
2009-04,2.853,
2009-07,2.934,
2009-10,2.935,
2010-01,2.915,
2010-04,3.009,
2010-07,3.062,
2010-10,3.118,
2011-01,3.226,
2011-04,3.328,
2011-07,3.448,
2011-10,3.310,
2012-01,3.363,
2012-04,3.538,
2012-07,3.693,
2012-10,3.776,
2013-01,3.847,
2013-04,4.010,
2013-07,4.163,
2013-10,4.212,
2014-01,4.343,
2014-04,4.505,
2014-07,4.603,
