"",BBK01.OELL09V,BBK01.OELL09V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:18:38,
2002-01,0.321,
2002-04,0.315,
2002-07,0.330,
2002-10,0.310,
2003-01,0.280,
2003-04,0.267,
2003-07,0.240,
2003-10,0.233,
2004-01,0.222,
2004-04,0.220,
2004-07,0.226,
2004-10,0.259,
2005-01,0.272,
2005-04,0.272,
2005-07,0.251,
2005-10,0.239,
2006-01,0.248,
2006-04,0.269,
2006-07,0.271,
2006-10,0.309,
2007-01,0.322,
2007-04,0.296,
2007-07,0.302,
2007-10,0.308,
2008-01,0.305,
2008-04,0.292,
2008-07,0.299,
2008-10,0.324,
2009-01,0.327,
2009-04,0.363,
2009-07,0.357,
2009-10,0.378,
2010-01,0.403,
2010-04,0.378,
2010-07,0.351,
2010-10,0.334,
2011-01,0.303,
2011-04,0.326,
2011-07,0.336,
2011-10,0.306,
2012-01,0.297,
2012-04,0.286,
2012-07,0.287,
2012-10,0.286,
2013-01,0.294,
2013-04,0.287,
2013-07,0.242,
2013-10,0.246,
2014-01,0.234,
2014-04,0.236,
2014-07,0.244,
