"",BBK01.OEAE34U,BBK01.OEAE34U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:06:31,
2002-01,0.502,
2002-04,0.503,
2002-07,0.530,
2002-10,0.546,
2003-01,0.571,
2003-04,0.570,
2003-07,0.577,
2003-10,0.579,
2004-01,0.575,
2004-04,0.579,
2004-07,0.603,
2004-10,0.601,
2005-01,0.600,
2005-04,0.585,
2005-07,0.581,
2005-10,0.599,
2006-01,0.604,
2006-04,0.609,
2006-07,0.613,
2006-10,0.622,
2007-01,0.632,
2007-04,0.645,
2007-07,0.645,
2007-10,0.657,
2008-01,0.655,
2008-04,0.653,
2008-07,0.646,
2008-10,0.648,
2009-01,0.622,
2009-04,0.677,
2009-07,0.684,
2009-10,0.671,
2010-01,0.710,
2010-04,0.823,
2010-07,0.824,
2010-10,0.822,
2011-01,0.845,
2011-04,0.853,
2011-07,0.851,
2011-10,0.865,
2012-01,0.847,
2012-04,1.097,
2012-07,1.110,
2012-10,1.112,
2013-01,1.115,
2013-04,1.123,
2013-07,1.166,
2013-10,1.165,
2014-01,1.145,
2014-04,1.137,
2014-07,1.174,
