"",BBK01.OEXI02J,BBK01.OEXI02J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:34,
2002-01,0.860,
2002-04,0.826,
2002-07,0.827,
2002-10,0.960,
2003-01,0.884,
2003-04,0.905,
2003-07,0.935,
2003-10,0.975,
2004-01,1.017,
2004-04,1.116,
2004-07,1.023,
2004-10,1.027,
2005-01,1.058,
2005-04,1.112,
2005-07,1.103,
2005-10,1.130,
2006-01,1.254,
2006-04,1.247,
2006-07,1.197,
2006-10,1.202,
2007-01,1.219,
2007-04,1.296,
2007-07,1.221,
2007-10,1.247,
2008-01,1.289,
2008-04,1.323,
2008-07,1.297,
2008-10,1.271,
2009-01,1.315,
2009-04,1.378,
2009-07,1.326,
2009-10,1.401,
2010-01,1.351,
2010-04,1.406,
2010-07,1.374,
2010-10,1.390,
2011-01,1.384,
2011-04,1.400,
2011-07,1.473,
2011-10,1.519,
2012-01,1.505,
2012-04,1.563,
2012-07,1.608,
2012-10,1.666,
2013-01,1.600,
2013-04,1.576,
2013-07,1.630,
2013-10,1.799,
2014-01,1.731,
2014-04,1.883,
2014-07,1.862,
