"",BBFN1.M.DE.N.1.A.PH.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.PH.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from financial operations / Total / Philippines,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:28:33,
1995-01,0.059,
1995-02,0.059,
1995-03,0.059,
1995-04,0.059,
1995-05,0.062,
1995-06,0.062,
1995-07,0.064,
1995-08,0.063,
1995-09,0.062,
1995-10,0.060,
1995-11,0.062,
1995-12,0.066,
1996-01,0.067,
1996-02,0.062,
1996-03,0.065,
1996-04,0.066,
1996-05,0.070,
1996-06,0.075,
1996-07,0.078,
1996-08,0.093,
1996-09,0.090,
1996-10,0.091,
1996-11,0.083,
1996-12,0.088,
1997-01,0.092,
1997-02,0.186,
1997-03,0.094,
1997-04,0.098,
1997-05,0.097,
1997-06,0.101,
1997-07,0.094,
1997-08,0.096,
1997-09,0.085,
1997-10,0.078,
1997-11,0.084,
1997-12,0.097,
1998-01,0.095,
1998-02,0.094,
1998-03,0.089,
1998-04,0.108,
1998-05,0.130,
1998-06,0.129,
1998-07,0.130,
1998-08,0.192,
1998-09,0.195,
1998-10,0.124,
1998-11,0.188,
1998-12,0.112,
1999-01,0.112,
1999-02,0.115,
1999-03,0.121,
1999-04,0.142,
1999-05,0.131,
1999-06,0.138,
1999-07,0.157,
1999-08,0.158,
1999-09,0.329,
1999-10,0.330,
1999-11,0.322,
1999-12,0.338,
2000-01,0.168,
2000-02,0.170,
2000-03,0.179,
2000-04,0.176,
2000-05,0.178,
2000-06,0.179,
2000-07,0.181,
2000-08,0.182,
2000-09,0.192,
2000-10,0.192,
2000-11,0.190,
2000-12,0.217,
2001-01,0.198,
2001-02,0.200,
2001-03,0.203,
2001-04,0.263,
2001-05,0.320,
2001-06,0.343,
2001-07,0.262,
2001-08,0.292,
2001-09,0.242,
2001-10,0.242,
2001-11,0.240,
2001-12,0.232,
2002-01,0.180,
2002-02,0.182,
2002-03,0.176,
2002-04,0.169,
2002-05,0.173,
2002-06,0.164,
2002-07,0.159,
2002-08,0.164,
2002-09,0.124,
2002-10,0.156,
2002-11,0.158,
2002-12,0.154,
2003-01,0.152,
2003-02,0.149,
2003-03,0.144,
2003-04,0.145,
2003-05,0.143,
2003-06,0.139,
2003-07,0.119,
2003-08,0.118,
2003-09,0.118,
2003-10,0.113,
2003-11,0.122,
2003-12,0.124,
2004-01,0.129,
2004-02,0.130,
2004-03,0.101,
2004-04,0.096,
2004-05,0.108,
2004-06,0.096,
2004-07,0.095,
2004-08,0.095,
2004-09,0.089,
2004-10,0.101,
2004-11,0.104,
2004-12,0.093,
2005-01,0.097,
2005-02,0.098,
2005-03,0.096,
2005-04,0.356,
2005-05,0.355,
2005-06,0.360,
2005-07,0.359,
2005-08,0.362,
2005-09,0.357,
2005-10,0.355,
2005-11,0.624,
2005-12,0.406,
2006-01,0.406,
2006-02,0.405,
2006-03,0.403,
2006-04,0.401,
2006-05,0.403,
2006-06,0.396,
2006-07,0.396,
2006-08,0.657,
2006-09,0.651,
2006-10,0.634,
2006-11,0.636,
2006-12,0.633,
2007-01,0.581,
2007-02,0.577,
2007-03,0.577,
2007-04,0.654,
2007-05,1.023,
2007-06,1.020,
2007-07,1.015,
2007-08,1.016,
2007-09,0.999,
2007-10,0.999,
2007-11,0.993,
2007-12,0.711,
2008-01,0.710,
2008-02,0.716,
2008-03,0.521,
2008-04,0.281,
2008-05,0.278,
2008-06,0.269,
2008-07,0.272,
2008-08,0.272,
2008-09,0.285,
2008-10,0.487,
2008-11,0.488,
2008-12,0.503,
2009-01,0.304,
2009-02,0.302,
2009-03,0.310,
2009-04,0.114,
2009-05,0.114,
2009-06,0.098,
2009-07,0.108,
2009-08,0.105,
2009-09,0.103,
2009-10,0.104,
2009-11,0.103,
2009-12,0.105,
2010-01,0.101,
2010-02,0.102,
2010-03,0.108,
2010-04,0.128,
2010-05,0.129,
2010-06,0.136,
2010-07,0.133,
2010-08,0.135,
2010-09,0.123,
2010-10,0.129,
2010-11,0.121,
2010-12,0.125,
2011-01,0.122,
2011-02,0.128,
2011-03,0.119,
2011-04,0.116,
2011-05,0.119,
2011-06,0.124,
2011-07,0.122,
2011-08,0.115,
2011-09,0.119,
2011-10,0.114,
2011-11,0.122,
2011-12,0.114,
2012-01,0.117,
2012-02,0.117,
2012-03,0.116,
2012-04,0.118,
2012-05,0.120,
2012-06,0.114,
2012-07,0.107,
2012-08,0.107,
2012-09,0.102,
2012-10,0.103,
2012-11,0.106,
2012-12,0.110,
2013-01,0.104,
2013-02,0.106,
2013-03,0.110,
2013-04,0.119,
2013-05,0.115,
2013-06,0.114,
2013-07,0.119,
2013-08,0.131,
2013-09,0.125,
2013-10,0.125,
2013-11,0.131,
2013-12,0.130,
2014-01,0.133,
2014-02,0.142,
2014-03,0.134,
2014-04,0.137,
2014-05,0.140,
2014-06,0.127,
2014-07,0.125,
2014-08,0.132,
2014-09,0.127,
2014-10,0.122,
2014-11,0.130,
2014-12,0.135,
