"",BBK01.OEXM01J,BBK01.OEXM01J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:43:30,
2002-01,0.065,
2002-04,0.044,
2002-07,0.037,
2002-10,0.042,
2003-01,0.035,
2003-04,0.033,
2003-07,0.043,
2003-10,0.056,
2004-01,0.045,
2004-04,0.055,
2004-07,0.042,
2004-10,0.041,
2005-01,0.034,
2005-04,0.044,
2005-07,0.049,
2005-10,0.070,
2006-01,0.096,
2006-04,0.114,
2006-07,0.114,
2006-10,0.107,
2007-01,0.107,
2007-04,0.110,
2007-07,0.107,
2007-10,0.115,
2008-01,0.115,
2008-04,0.113,
2008-07,0.122,
2008-10,0.131,
2009-01,0.117,
2009-04,0.121,
2009-07,0.097,
2009-10,0.093,
2010-01,0.103,
2010-04,0.102,
2010-07,0.108,
2010-10,0.103,
2011-01,0.108,
2011-04,0.107,
2011-07,0.071,
2011-10,0.065,
2012-01,0.109,
2012-04,0.119,
2012-07,0.117,
2012-10,0.104,
2013-01,0.028,
2013-04,0.009,
2013-07,0.015,
2013-10,0.013,
2014-01,0.359,
2014-04,0.375,
2014-07,0.432,
