"",BBK01.OEAC37O,BBK01.OEAC37O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:53:39,
2002-01,0.144,
2002-04,0.143,
2002-07,0.141,
2002-10,0.141,
2003-01,0.107,
2003-04,0.104,
2003-07,0.103,
2003-10,0.108,
2004-01,0.112,
2004-04,0.111,
2004-07,0.113,
2004-10,0.109,
2005-01,0.127,
2005-04,0.130,
2005-07,0.131,
2005-10,0.131,
2006-01,0.134,
2006-04,0.138,
2006-07,0.131,
2006-10,0.133,
2007-01,0.130,
2007-04,0.136,
2007-07,0.136,
2007-10,0.137,
2008-01,0.138,
2008-04,0.147,
2008-07,0.159,
2008-10,0.160,
2009-01,0.146,
2009-04,0.199,
2009-07,0.193,
2009-10,0.182,
2010-01,0.137,
2010-04,0.180,
2010-07,0.167,
2010-10,0.146,
2011-01,0.149,
2011-04,0.148,
2011-07,0.146,
2011-10,0.144,
2012-01,0.147,
2012-04,0.164,
2012-07,0.160,
2012-10,0.166,
2013-01,0.179,
2013-04,0.186,
2013-07,0.205,
2013-10,0.203,
2014-01,0.202,
2014-04,0.196,
2014-07,0.194,
