"",BBK01.OEAN05L,BBK01.OEAN05L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:11:59,
2002-01,12.097,
2002-04,11.466,
2002-07,11.338,
2002-10,11.704,
2003-01,11.525,
2003-04,11.233,
2003-07,11.019,
2003-10,11.005,
2004-01,10.620,
2004-04,10.440,
2004-07,10.094,
2004-10,10.095,
2005-01,10.028,
2005-04,9.848,
2005-07,9.884,
2005-10,9.652,
2006-01,9.343,
2006-04,9.121,
2006-07,8.748,
2006-10,8.464,
2007-01,8.151,
2007-04,7.868,
2007-07,7.491,
2007-10,7.600,
2008-01,7.483,
2008-04,7.195,
2008-07,6.863,
2008-10,6.736,
2009-01,6.934,
2009-04,7.144,
2009-07,7.306,
2009-10,7.631,
2010-01,7.918,
2010-04,7.724,
2010-07,7.715,
2010-10,7.787,
2011-01,7.918,
2011-04,8.044,
2011-07,8.009,
2011-10,7.984,
2012-01,8.130,
2012-04,8.356,
2012-07,8.628,
2012-10,8.915,
2013-01,9.320,
2013-04,9.390,
2013-07,9.484,
2013-10,9.756,
2014-01,10.086,
2014-04,10.373,
2014-07,10.482,
