"",BBK01.OEAM04J,BBK01.OEAM04J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:38:29,
2002-01,0.188,
2002-04,0.137,
2002-07,0.163,
2002-10,0.142,
2003-01,0.199,
2003-04,0.324,
2003-07,0.170,
2003-10,0.098,
2004-01,0.190,
2004-04,0.335,
2004-07,0.422,
2004-10,0.114,
2005-01,0.394,
2005-04,0.504,
2005-07,0.521,
2005-10,0.679,
2006-01,0.413,
2006-04,0.660,
2006-07,0.607,
2006-10,0.484,
2007-01,0.316,
2007-04,0.391,
2007-07,0.538,
2007-10,0.342,
2008-01,0.188,
2008-04,0.656,
2008-07,0.561,
2008-10,0.351,
2009-01,0.184,
2009-04,0.186,
2009-07,0.266,
2009-10,0.355,
2010-01,0.583,
2010-04,0.941,
2010-07,0.821,
2010-10,0.649,
2011-01,0.544,
2011-04,0.699,
2011-07,0.431,
2011-10,0.726,
2012-01,0.853,
2012-04,0.799,
2012-07,0.576,
2012-10,0.746,
2013-01,0.906,
2013-04,0.777,
2013-07,0.755,
2013-10,0.819,
2014-01,1.151,
2014-04,1.071,
2014-07,1.062,
