"",BBFB1.Q.N.DE.TW.S1.S1.T.L.FA.O.F._Z._T._X.N,BBFB1.Q.N.DE.TW.S1.S1.T.L.FA.O.F._Z._T._X.N_FLAGS
"","Financial account / Net foreign financial investment in the reporting country / Other investment / Taiwan, Province of China",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:48:30,
1991-01,2.103,
1991-04,-21.938,
1991-07,-214.509,
1991-10,-372.856,
1992-01,-342.870,
1992-04,-363.958,
1992-07,-289.194,
1992-10,-181.056,
1993-01,-95.132,
1993-04,-144.808,
1993-07,-126.159,
1993-10,4.762,
1994-01,53.623,
1994-04,55.534,
1994-07,-167.649,
1994-10,34.264,
1995-01,5.393,
1995-04,-33.228,
1995-07,23.604,
1995-10,107.415,
1996-01,47.228,
1996-04,-134.713,
1996-07,-107.477,
1996-10,73.158,
1997-01,11.928,
1997-04,13.672,
1997-07,6.965,
1997-10,-168.514,
1998-01,50.033,
1998-04,5.338,
1998-07,-68.542,
1998-10,12.592,
1999-01,45.928,
1999-04,30.885,
1999-07,230.138,
1999-10,108.453,
2000-01,209.063,
2000-04,-286.721,
2000-07,300.714,
2000-10,510.902,
2001-01,48.521,
2001-04,281.056,
2001-07,-15.012,
2001-10,-94.608,
2002-01,-94.577,
2002-04,187.822,
2002-07,-366.780,
2002-10,363.153,
2003-01,-244.192,
2003-04,-137.354,
2003-07,46.462,
2003-10,-123.300,
2004-01,-86.555,
2004-04,-57.195,
2004-07,-260.996,
2004-10,32.264,
2005-01,58.944,
2005-04,10.210,
2005-07,102.973,
2005-10,360.041,
2006-01,-229.164,
2006-04,47.743,
2006-07,69.944,
2006-10,56.359,
2007-01,47.127,
2007-04,1059.953,
2007-07,-834.750,
2007-10,-329.536,
2008-01,-129.853,
2008-04,-0.468,
2008-07,287.560,
2008-10,-116.514,
2009-01,-595.270,
2009-04,119.315,
2009-07,-18.644,
2009-10,4.775,
2010-01,-45.924,
2010-04,529.931,
2010-07,-42.918,
2010-10,-236.042,
2011-01,-330.789,
2011-04,101.393,
2011-07,11.815,
2011-10,177.373,
2012-01,-269.452,
2012-04,-31.046,
2012-07,99.479,
2012-10,135.553,
2013-01,927.103,
2013-04,-919.304,
2013-07,-250.144,
2013-10,21.999,
2014-01,226.915,Provisional value
2014-04,156.343,Provisional value
2014-07,-115.910,Provisional value
2014-10,465.363,Provisional value
