"",BBDE1.Q.DE.Y.LCC1.P2XO00100.A.L.I08.A1,BBDE1.Q.DE.Y.LCC1.P2XO00100.A.L.I08.A1_FLAGS
"",Index of non-wage costs / Germany / Section O-S - Non-market service activities / Calendar and seasonally adjusted / (With 3 decimal places),
unit,2008=100 (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-09 08:05:23,
1996-01,92.334,
1996-04,89.516,
1996-07,90.535,
1996-10,91.081,
1997-01,92.252,
1997-04,94.462,
1997-07,93.376,
1997-10,94.403,
1998-01,93.856,
1998-04,95.685,
1998-07,97.006,
1998-10,98.045,
1999-01,97.352,
1999-04,99.433,
1999-07,99.711,
1999-10,100.360,
2000-01,100.444,
2000-04,98.320,
2000-07,101.725,
2000-10,102.164,
2001-01,101.843,
2001-04,100.936,
2001-07,100.903,
2001-10,102.476,
2002-01,104.701,
2002-04,103.259,
2002-07,103.251,
2002-10,104.198,
2003-01,104.429,
2003-04,104.090,
2003-07,106.776,
2003-10,104.643,
2004-01,103.378,
2004-04,105.366,
2004-07,104.780,
2004-10,103.810,
2005-01,102.781,
2005-04,105.194,
2005-07,101.505,
2005-10,101.079,
2006-01,101.798,
2006-04,100.378,
2006-07,99.983,
2006-10,101.051,
2007-01,100.085,
2007-04,98.095,
2007-07,98.211,
2007-10,98.960,
2008-01,97.994,
2008-04,99.541,
2008-07,101.621,
2008-10,100.844,
2009-01,103.197,
2009-04,104.760,
2009-07,105.575,
2009-10,105.013,
2010-01,105.471,
2010-04,107.002,
2010-07,107.710,
2010-10,107.515,
2011-01,111.302,
2011-04,111.972,
2011-07,111.767,
2011-10,111.109,
2012-01,112.263,
2012-04,111.558,
2012-07,113.132,
2012-10,115.508,
2013-01,117.989,
2013-04,115.429,
2013-07,114.942,
2013-10,116.902,
2014-01,115.695,
2014-04,118.295,
2014-07,119.738,
