"",BBK01.OEYL01K,BBK01.OEYL01K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:19:54,
2002-01,1.731,
2002-04,1.711,
2002-07,1.704,
2002-10,1.762,
2003-01,1.810,
2003-04,1.825,
2003-07,1.571,
2003-10,1.499,
2004-01,1.532,
2004-04,2.076,
2004-07,2.060,
2004-10,2.093,
2005-01,2.151,
2005-04,2.200,
2005-07,2.263,
2005-10,2.282,
2006-01,2.260,
2006-04,2.238,
2006-07,2.209,
2006-10,2.284,
2007-01,2.245,
2007-04,2.261,
2007-07,1.565,
2007-10,1.485,
2008-01,1.584,
2008-04,1.518,
2008-07,1.491,
2008-10,1.587,
2009-01,1.636,
2009-04,1.701,
2009-07,1.707,
2009-10,1.778,
2010-01,1.666,
2010-04,1.641,
2010-07,1.639,
2010-10,1.626,
2011-01,1.613,
2011-04,1.589,
2011-07,1.602,
2011-10,1.670,
2012-01,1.638,
2012-04,1.645,
2012-07,1.617,
2012-10,1.667,
2013-01,1.677,
2013-04,1.674,
2013-07,1.602,
2013-10,1.498,
2014-01,1.481,
2014-04,1.491,
2014-07,1.502,
