"",BBK01.OEBB16G,BBK01.OEBB16G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:24:38,
2002-01,6.205,
2002-04,6.332,
2002-07,6.320,
2002-10,6.472,
2003-01,6.353,
2003-04,6.264,
2003-07,6.307,
2003-10,6.198,
2004-01,6.128,
2004-04,6.173,
2004-07,6.083,
2004-10,6.500,
2005-01,5.414,
2005-04,5.416,
2005-07,3.474,
2005-10,3.610,
2006-01,3.629,
2006-04,3.636,
2006-07,3.650,
2006-10,3.545,
2007-01,3.577,
2007-04,3.611,
2007-07,3.617,
2007-10,3.596,
2008-01,3.616,
2008-04,3.687,
2008-07,3.637,
2008-10,3.642,
2009-01,3.640,
2009-04,4.432,
2009-07,4.409,
2009-10,4.332,
2010-01,4.254,
2010-04,4.266,
2010-07,4.264,
2010-10,4.165,
2011-01,4.307,
2011-04,4.258,
2011-07,4.269,
2011-10,4.147,
2012-01,3.998,
2012-04,3.995,
2012-07,3.911,
2012-10,3.868,
2013-01,3.825,
2013-04,3.939,
2013-07,3.827,
2013-10,3.741,
2014-01,3.728,
2014-04,3.736,
2014-07,3.793,
