"",BBK01.OEBB06N,BBK01.OEBB06N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:32:38,
2002-01,32.001,
2002-04,32.345,
2002-07,31.021,
2002-10,31.102,
2003-01,29.640,
2003-04,29.849,
2003-07,29.418,
2003-10,28.592,
2004-01,28.592,
2004-04,26.506,
2004-07,26.756,
2004-10,23.043,
2005-01,26.062,
2005-04,25.435,
2005-07,24.271,
2005-10,23.628,
2006-01,23.295,
2006-04,23.964,
2006-07,24.615,
2006-10,23.155,
2007-01,25.319,
2007-04,25.314,
2007-07,24.365,
2007-10,28.489,
2008-01,29.429,
2008-04,29.485,
2008-07,33.254,
2008-10,35.658,
2009-01,33.258,
2009-04,32.481,
2009-07,38.845,
2009-10,28.905,
2010-01,28.621,
2010-04,36.907,
2010-07,31.527,
2010-10,29.877,
2011-01,33.070,
2011-04,34.822,
2011-07,43.990,
2011-10,42.178,
2012-01,35.301,
2012-04,41.199,
2012-07,43.242,
2012-10,39.854,
2013-01,42.605,
2013-04,42.286,
2013-07,25.548,
2013-10,24.156,
2014-01,27.261,
2014-04,27.621,
2014-07,26.467,
