"",BBK01.CEFCN0,BBK01.CEFCN0_FLAGS
"",Financial derivatives and employee stock options  debtor: Rest of the world                                 creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:37:30,
1999-01,334.0,
1999-04,371.1,
1999-07,369.9,
1999-10,368.7,
2000-01,369.9,
2000-04,371.1,
2000-07,415.2,
2000-10,459.3,
2001-01,488.7,
2001-04,518.1,
2001-07,572.0,
2001-10,625.9,
2002-01,654.7,
2002-04,677.1,
2002-07,749.0,
2002-10,773.5,
2003-01,830.5,
2003-04,864.3,
2003-07,821.4,
2003-10,781.1,
2004-01,899.1,
2004-04,833.3,
2004-07,830.9,
2004-10,838.8,
2005-01,884.2,
2005-04,903.7,
2005-07,939.4,
2005-10,940.2,
2006-01,979.8,
2006-04,996.2,
2006-07,974.8,
2006-10,966.2,
2007-01,1050.8,
2007-04,1132.9,
2007-07,1157.9,
2007-10,1208.2,
2008-01,1350.8,
2008-04,1278.5,
2008-07,1421.5,
2008-10,1512.0,
2009-01,1574.2,
2009-04,1037.2,
2009-07,985.2,
2009-10,912.6,
2010-01,986.6,
2010-04,1206.1,
2010-07,1109.1,
2010-10,799.8,
2011-01,655.8,
2011-04,625.3,
2011-07,997.5,
2011-10,947.7,
2012-01,853.8,
2012-04,960.4,
2012-07,945.8,
2012-10,899.8,
2013-01,810.9,
2013-04,678.1,
2013-07,634.3,
2013-10,576.6,
2014-01,555.0,
2014-04,583.4,
2014-07,654.1,
