"",BBK01.OEAH23I,BBK01.OEAH23I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:24:28,
2002-01,0.163,
2002-04,0.169,
2002-07,0.176,
2002-10,0.192,
2003-01,0.177,
2003-04,0.170,
2003-07,0.158,
2003-10,0.151,
2004-01,0.143,
2004-04,0.127,
2004-07,0.117,
2004-10,0.097,
2005-01,0.118,
2005-04,0.119,
2005-07,0.126,
2005-10,0.127,
2006-01,0.140,
2006-04,0.159,
2006-07,0.194,
2006-10,0.202,
2007-01,0.214,
2007-04,0.266,
2007-07,0.288,
2007-10,0.383,
2008-01,0.488,
2008-04,0.570,
2008-07,0.639,
2008-10,0.748,
2009-01,0.791,
2009-04,0.674,
2009-07,0.560,
2009-10,0.390,
2010-01,0.293,
2010-04,0.265,
2010-07,0.290,
2010-10,0.296,
2011-01,0.359,
2011-04,0.385,
2011-07,0.385,
2011-10,0.383,
2012-01,0.303,
2012-04,0.295,
2012-07,0.264,
2012-10,0.223,
2013-01,0.226,
2013-04,0.216,
2013-07,0.223,
2013-10,0.229,
2014-01,0.231,
2014-04,0.228,
2014-07,0.196,
