"",BBK01.OELB21O,BBK01.OELB21O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:34:36,
2002-01,0.209,
2002-04,0.208,
2002-07,0.232,
2002-10,0.243,
2003-01,0.301,
2003-04,0.300,
2003-07,0.300,
2003-10,0.308,
2004-01,0.254,
2004-04,0.263,
2004-07,0.275,
2004-10,0.300,
2005-01,0.304,
2005-04,0.269,
2005-07,0.296,
2005-10,0.317,
2006-01,0.298,
2006-04,0.293,
2006-07,0.282,
2006-10,0.312,
2007-01,0.291,
2007-04,0.288,
2007-07,0.297,
2007-10,0.258,
2008-01,0.240,
2008-04,0.234,
2008-07,0.222,
2008-10,0.237,
2009-01,0.262,
2009-04,0.241,
2009-07,0.269,
2009-10,0.295,
2010-01,0.303,
2010-04,0.318,
2010-07,0.306,
2010-10,0.297,
2011-01,0.306,
2011-04,0.299,
2011-07,0.298,
2011-10,0.329,
2012-01,0.350,
2012-04,0.316,
2012-07,0.319,
2012-10,0.348,
2013-01,0.355,
2013-04,0.380,
2013-07,0.390,
2013-10,0.401,
2014-01,0.402,
2014-04,0.460,
2014-07,0.453,
