"",BBK01.OEAM02H,BBK01.OEAM02H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:38:16,
2002-01,2.386,
2002-04,2.168,
2002-07,2.420,
2002-10,2.714,
2003-01,2.161,
2003-04,2.221,
2003-07,2.108,
2003-10,2.574,
2004-01,2.363,
2004-04,2.346,
2004-07,2.384,
2004-10,2.737,
2005-01,2.478,
2005-04,2.841,
2005-07,2.829,
2005-10,3.216,
2006-01,2.770,
2006-04,3.599,
2006-07,3.900,
2006-10,3.479,
2007-01,3.134,
2007-04,3.143,
2007-07,3.745,
2007-10,4.429,
2008-01,3.714,
2008-04,3.461,
2008-07,3.645,
2008-10,4.639,
2009-01,4.534,
2009-04,6.599,
2009-07,5.351,
2009-10,6.562,
2010-01,5.315,
2010-04,5.687,
2010-07,5.826,
2010-10,9.286,
2011-01,11.452,
2011-04,9.037,
2011-07,13.412,
2011-10,7.373,
2012-01,8.491,
2012-04,13.135,
2012-07,11.693,
2012-10,10.139,
2013-01,11.529,
2013-04,10.011,
2013-07,10.313,
2013-10,8.952,
2014-01,8.547,
2014-04,8.867,
2014-07,8.570,
