"",BBSF2.M.1.P.00000.AKT01.I.F.WPS.Z5.00000.000000.EUR.00,BBSF2.M.1.P.00000.AKT01.I.F.WPS.Z5.00000.000000.EUR.00_FLAGS
"",Public funds / Equity funds / Securities total / Denominated in Euro,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:40:08,
2009-09,54487,
2009-10,53150,
2009-11,53479,
2009-12,57393,
2010-01,52943,
2010-02,53166,
2010-03,57332,
2010-04,55868,
2010-05,58973,
2010-06,53050,
2010-07,54970,
2010-08,53177,
2010-09,56175,
2010-10,60017,
2010-11,59949,
2010-12,63983,
2011-01,65166,
2011-02,66301,
2011-03,65641,
2011-04,68320,
2011-05,67631,
2011-06,67656,
2011-07,68200,
2011-08,57007,
2011-09,53654,
2011-10,59429,
2011-11,57262,
2011-12,56935,
2012-01,61241,
2012-02,64080,
2012-03,63857,
2012-04,57919,
2012-05,56145,
2012-06,57427,
2012-07,60925,
2012-08,61954,
2012-09,63502,
2012-10,63742,
2012-11,65681,
2012-12,67931,
2013-01,69074,
2013-02,68564,
2013-03,68461,
2013-04,68519,
2013-05,71072,
2013-06,68300,
2013-07,71113,
2013-08,69722,
2013-09,73361,
2013-10,77503,
2013-11,80319,
2013-12,81775,
2014-01,79152,
2014-02,82527,
2014-03,81569,
2014-04,81031,
2014-05,83553,
2014-06,83341,
2014-07,79965,
2014-08,80967,
2014-09,77623,
2014-10,75459,
2014-11,77596,
