"",BBK01.OEAD13H,BBK01.OEAD13H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:57:47,
2002-01,0.352,
2002-04,0.347,
2002-07,0.354,
2002-10,0.327,
2003-01,0.356,
2003-04,0.326,
2003-07,0.326,
2003-10,0.320,
2004-01,0.325,
2004-04,0.326,
2004-07,0.312,
2004-10,0.342,
2005-01,0.339,
2005-04,0.293,
2005-07,0.331,
2005-10,0.262,
2006-01,0.285,
2006-04,0.271,
2006-07,0.291,
2006-10,0.293,
2007-01,0.307,
2007-04,0.343,
2007-07,0.352,
2007-10,0.334,
2008-01,0.340,
2008-04,0.310,
2008-07,0.306,
2008-10,0.359,
2009-01,0.334,
2009-04,0.336,
2009-07,0.292,
2009-10,0.261,
2010-01,0.250,
2010-04,0.243,
2010-07,0.239,
2010-10,0.199,
2011-01,0.216,
2011-04,0.215,
2011-07,0.192,
2011-10,0.186,
2012-01,0.226,
2012-04,0.252,
2012-07,0.210,
2012-10,0.194,
2013-01,0.203,
2013-04,0.203,
2013-07,0.170,
2013-10,0.157,
2014-01,0.161,
2014-04,0.160,
2014-07,0.164,
