"",BBK01.OECI03R,BBK01.OECI03R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:53:36,
2002-01,0.319,
2002-04,0.292,
2002-07,0.277,
2002-10,0.310,
2003-01,0.238,
2003-04,0.237,
2003-07,0.197,
2003-10,0.197,
2004-01,0.147,
2004-04,0.156,
2004-07,0.135,
2004-10,0.230,
2005-01,0.308,
2005-04,0.260,
2005-07,0.234,
2005-10,0.228,
2006-01,0.226,
2006-04,0.233,
2006-07,0.247,
2006-10,0.253,
2007-01,0.261,
2007-04,0.282,
2007-07,0.337,
2007-10,0.396,
2008-01,0.423,
2008-04,0.436,
2008-07,0.524,
2008-10,0.519,
2009-01,0.423,
2009-04,0.414,
2009-07,0.366,
2009-10,0.302,
2010-01,0.251,
2010-04,0.232,
2010-07,0.213,
2010-10,0.204,
2011-01,0.220,
2011-04,0.215,
2011-07,0.198,
2011-10,0.214,
2012-01,0.235,
2012-04,0.232,
2012-07,0.242,
2012-10,0.183,
2013-01,0.156,
2013-04,0.155,
2013-07,0.159,
2013-10,0.155,
2014-01,0.144,
2014-04,0.145,
2014-07,0.121,
