"",BBK01.OEYM03H,BBK01.OEYM03H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:44:43,
2002-01,3.252,
2002-04,3.064,
2002-07,2.756,
2002-10,2.263,
2003-01,2.182,
2003-04,2.541,
2003-07,2.528,
2003-10,2.243,
2004-01,2.006,
2004-04,1.614,
2004-07,1.647,
2004-10,2.105,
2005-01,1.929,
2005-04,2.490,
2005-07,2.234,
2005-10,2.305,
2006-01,2.418,
2006-04,3.008,
2006-07,3.259,
2006-10,3.653,
2007-01,3.313,
2007-04,3.314,
2007-07,5.343,
2007-10,6.388,
2008-01,7.813,
2008-04,8.879,
2008-07,7.919,
2008-10,4.607,
2009-01,3.347,
2009-04,2.615,
2009-07,3.597,
2009-10,3.302,
2010-01,4.338,
2010-04,4.018,
2010-07,4.682,
2010-10,18.196,
2011-01,13.151,
2011-04,13.484,
2011-07,14.082,
2011-10,14.914,
2012-01,12.965,
2012-04,12.593,
2012-07,12.219,
2012-10,13.272,
2013-01,13.765,
2013-04,12.886,
2013-07,6.829,
2013-10,5.901,
2014-01,5.815,
2014-04,5.711,
2014-07,5.744,
