"",BBK01.OEAL03I,BBK01.OEAL03I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:13:07,
2002-01,10.193,
2002-04,9.558,
2002-07,8.708,
2002-10,8.702,
2003-01,8.542,
2003-04,8.032,
2003-07,7.522,
2003-10,6.291,
2004-01,5.803,
2004-04,4.904,
2004-07,4.392,
2004-10,4.276,
2005-01,4.114,
2005-04,2.799,
2005-07,2.799,
2005-10,3.015,
2006-01,2.791,
2006-04,2.757,
2006-07,3.006,
2006-10,3.544,
2007-01,3.631,
2007-04,3.784,
2007-07,4.297,
2007-10,4.813,
2008-01,5.221,
2008-04,5.706,
2008-07,6.053,
2008-10,6.211,
2009-01,5.490,
2009-04,4.286,
2009-07,3.322,
2009-10,2.592,
2010-01,2.272,
2010-04,2.329,
2010-07,2.105,
2010-10,2.064,
2011-01,2.841,
2011-04,3.634,
2011-07,4.166,
2011-10,5.109,
2012-01,5.970,
2012-04,5.903,
2012-07,5.757,
2012-10,5.358,
2013-01,4.790,
2013-04,4.572,
2013-07,4.317,
2013-10,4.151,
2014-01,4.030,
2014-04,4.184,
2014-07,4.219,
