"",BBFB1.Q.N.DE.E14000.S1.S1.T.A.FA___OWR._T.F._Z._T._X.N,BBFB1.Q.N.DE.E14000.S1.S1.T.A.FA___OWR._T.F._Z._T._X.N_FLAGS
"",Financial account (excl. Reserve assets) / Net domestic investment abroad / Other European countries (acc. to Supplement 3),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:44:13,
1991-01,1064.126,
1991-04,1145.632,
1991-07,1358.713,
1991-10,-638.300,
1992-01,2366.561,
1992-04,1242.510,
1992-07,-671.266,
1992-10,2541.230,
1993-01,658.694,
1993-04,3284.806,
1993-07,803.898,
1993-10,5428.716,
1994-01,375.910,
1994-04,-215.640,
1994-07,218.005,
1994-10,1094.578,
1995-01,1192.421,
1995-04,671.770,
1995-07,1862.586,
1995-10,701.760,
1996-01,2808.103,
1996-04,2192.959,
1996-07,1930.032,
1996-10,3257.240,
1997-01,7690.773,
1997-04,1562.527,
1997-07,8053.176,
1997-10,4083.969,
1998-01,6458.508,
1998-04,8052.317,
1998-07,1471.464,
1998-10,6307.096,
1999-01,6624.646,
1999-04,-3947.470,
1999-07,2072.004,
1999-10,8773.752,
2000-01,2879.985,
2000-04,-1329.287,
2000-07,5626.506,
2000-10,4233.943,
2001-01,-7256.298,
2001-04,1719.875,
2001-07,31.298,
2001-10,3151.927,
2002-01,-7019.583,
2002-04,3500.639,
2002-07,-1521.356,
2002-10,-3411.433,
2003-01,12176.444,
2003-04,290.171,
2003-07,3201.859,
2003-10,11767.741,
2004-01,-16179.198,
2004-04,11774.604,
2004-07,3823.087,
2004-10,-532.789,
2005-01,6904.562,
2005-04,-3090.032,
2005-07,8452.254,
2005-10,10018.442,
2006-01,9252.942,
2006-04,20296.373,
2006-07,-1039.221,
2006-10,27620.938,
2007-01,22312.120,
2007-04,8040.779,
2007-07,4417.135,
2007-10,-12164.408,
2008-01,2100.569,
2008-04,13914.104,
2008-07,12635.667,
2008-10,-11371.671,
2009-01,-10245.242,
2009-04,-5752.832,
2009-07,-6012.127,
2009-10,-4624.913,
2010-01,3872.421,
2010-04,4556.176,
2010-07,4999.816,
2010-10,644.476,
2011-01,5409.883,
2011-04,742.971,
2011-07,5146.142,
2011-10,-7161.831,
2012-01,8566.979,
2012-04,7870.884,
2012-07,1949.050,
2012-10,1412.678,
2013-01,8219.440,
2013-04,2860.112,
2013-07,7605.671,
2013-10,3291.011,
2014-01,10493.413,Provisional value
2014-04,11929.853,Provisional value
2014-07,-216.369,Provisional value
2014-10,-4777.250,Provisional value
