"",BBEX3.M.GNF.USD.CA.AC.A01,BBEX3.M.GNF.USD.CA.AC.A01_FLAGS
"",Exchange rates for the US dollar in Guinea / USD 1 = GNF ... (middle),
unit,GNF (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:17:38,
1990-01,630.00000,
1990-02,650.00000,
1990-03,650.00000,
1990-04,650.00000,
1990-05,655.00000,
1990-06,665.00000,
1990-07,665.00000,
1990-08,670.00000,
1990-09,675.00000,
1990-10,675.00000,
1990-11,675.00000,
1990-12,680.00000,
1991-01,680.00000,
1991-02,682.18000,
1991-03,699.62835,
1991-04,727.80460,
1991-05,728.42520,
1991-06,755.23195,
1991-07,798.05640,
1991-08,815.90855,
1991-09,812.31095,
1991-10,818.07665,
1991-11,806.96895,
1991-12,802.94725,
1992-01,823.95610,
1992-02,855.14935,
1992-03,890.29465,
1992-04,922.34815,
1992-05,922.95195,
1992-06,922.68290,
1992-07,922.43500,
1992-08,922.61560,
1992-09,922.90490,
1992-10,922.41340,
1992-11,922.71790,
1992-12,922.27470,
1993-01,934.38080,
1993-02,951.89560,
1993-03,952.71370,
1993-04,952.01490,
1993-05,953.45370,
1993-06,956.09550,
1993-07,957.80800,
1993-08,956.85980,
1993-09,957.80060,
1993-10,971.99470,
1993-11,971.92710,
1993-12,972.41390,
1994-01,975.20370,
1994-02,976.26240,
1994-03,976.29360,
1994-04,976.63040,
1994-05,976.43830,
1994-06,975.97170,
1994-07,976.02240,
1994-08,975.67195,
1994-09,975.95750,
1994-10,976.42840,
1994-11,978.72600,
1994-12,981.02380,
1995-01,981.34280,
1995-02,985.00000,
1995-03,986.14510,
1995-04,989.92340,
1995-05,989.43790,
1995-06,992.69420,
1995-07,995.11990,
1995-08,995.65140,
1995-09,996.96470,
1995-10,997.34550,
1995-11,997.64020,
1995-12,997.98430,
1996-01,998.55990,
1996-02,998.96680,
1996-03,999.38490,
1996-04,999.76460,
1996-05,999.97890,
1996-06,1000.00000,
1996-07,1000.14990,
1996-08,1000.22000,
1996-09,1005.29215,
1996-10,1005.29900,
1996-11,1007.02790,
1996-12,1039.12970,
1997-01,1044.00160,
1997-02,1070.77700,
1997-03,1070.77700,
1997-04,1070.77700,
1997-05,1093.09960,
1997-06,1100.38290,
1997-07,1101.99990,
1997-08,1127.74010,
1997-09,1136.10360,
1997-10,1136.99990,
1997-11,1143.12360,
1997-12,1144.95010,
1998-01,1169.99040,
1998-02,1193.59060,
1998-03,1213.82180,
1998-04,1218.98780,
1998-05,1226.15810,
1998-06,1235.23240,
1998-07,1241.02210,
1998-08,1251.27070,
1998-09,1268.15990,
1998-10,1275.99010,
1998-11,1278.17950,
1998-12,1298.03230,
1999-01,1309.50720,
1999-02,1311.36340,
1999-03,1312.06625,
1999-04,1316.01440,
1999-05,1329.10890,
1999-06,1339.01055,
1999-07,1354.96080,
1999-08,1370.00670,
1999-09,1436.49400,
1999-10,1485.62000,
1999-11,1485.62000,
1999-12,1736.00000,
2000-01,1831.64000,
2000-02,1672.00000,
2000-03,1679.50000,
2000-04,1596.00000,
2000-05,1630.00000,
2000-06,1626.00000,
2000-07,1671.99500,
2000-08,1825.90000,
2000-09,1825.75000,
2000-10,1875.00000,
2000-11,1920.00000,
2000-12,1920.00000,
2001-01,1920.00000,
2001-02,1930.00000,
2001-03,1930.00000,
2001-04,1945.00000,
2001-05,1945.00000,
2001-06,1945.00000,
2001-07,1945.00000,
2001-08,1972.00000,
2001-09,1960.00000,
2001-10,1968.00000,
2001-11,1974.32500,
2001-12,1974.32500,
2002-01,1980.95005,
2002-02,1975.00000,
2002-03,1975.00000,
2002-04,1973.00000,
2002-05,1975.00000,
2002-06,1976.00000,
2002-07,1976.00000,
2002-08,1976.00000,
2002-09,1976.00000,
2002-10,1976.00000,
2002-11,1976.00000,
2002-12,1976.00000,
2003-01,1975.00000,
2003-02,1975.00000,
2003-03,1977.00000,
2003-04,1980.00000,
2003-05,1980.00000,
2003-06,1980.00000,
2003-07,1985.00000,
2003-08,1985.00000,
2003-09,1995.00000,
2003-10,2000.00000,
2003-11,2000.00000,
2003-12,2000.00000,
2004-01,2000.00000,
2004-02,2000.00000,
2004-03,2000.00000,
2004-04,2000.00000,
2004-05,2000.00000,
2004-06,2000.00000,
2004-07,2500.00000,comment
2004-08,2650.00000,
2004-09,2550.00000,
2004-10,2550.00000,
