"",BBK01.OECO01T,BBK01.OECO01T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:15:44,
2002-01,0.618,
2002-04,0.590,
2002-07,0.391,
2002-10,0.398,
2003-01,0.429,
2003-04,0.437,
2003-07,0.434,
2003-10,0.462,
2004-01,0.454,
2004-04,0.450,
2004-07,0.450,
2004-10,0.572,
2005-01,1.358,
2005-04,1.350,
2005-07,1.337,
2005-10,1.329,
2006-01,1.334,
2006-04,1.316,
2006-07,1.286,
2006-10,1.256,
2007-01,1.244,
2007-04,1.250,
2007-07,1.242,
2007-10,1.212,
2008-01,1.226,
2008-04,1.212,
2008-07,1.227,
2008-10,1.200,
2009-01,1.192,
2009-04,1.241,
2009-07,1.277,
2009-10,1.365,
2010-01,1.400,
2010-04,1.407,
2010-07,1.411,
2010-10,1.427,
2011-01,1.435,
2011-04,1.430,
2011-07,1.388,
2011-10,1.347,
2012-01,1.353,
2012-04,1.444,
2012-07,1.418,
2012-10,1.424,
2013-01,1.475,
2013-04,1.447,
2013-07,1.434,
2013-10,1.418,
2014-01,1.412,
2014-04,1.398,
2014-07,1.377,
