"",BBFB1.Q.N.DE.O1.S1.S1.T.L.FA.D.F._Z._T._X.N,BBFB1.Q.N.DE.O1.S1.S1.T.L.FA.D.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Direct investment / Oceania and Polar Regions,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:48:38,
1991-01,1.422,
1991-04,-0.627,
1991-07,0.741,
1991-10,4.975,
1992-01,1.410,
1992-04,2.200,
1992-07,-2.669,
1992-10,11.729,
1993-01,-4.861,
1993-04,-4.877,
1993-07,-4.805,
1993-10,-8.811,
1994-01,0.221,
1994-04,12.605,
1994-07,1.741,
1994-10,0.431,
1995-01,-11.807,
1995-04,-6.537,
1995-07,-10.443,
1995-10,14.342,
1996-01,-26.311,
1996-04,41.834,
1996-07,83.378,
1996-10,82.693,
1997-01,-96.768,
1997-04,-124.647,
1997-07,-53.174,
1997-10,22.100,
1998-01,31.994,
1998-04,30.452,
1998-07,-96.081,
1998-10,-28.260,
1999-01,-58.987,
1999-04,-7.592,
1999-07,-76.650,
1999-10,-77.876,
2000-01,-56.516,
2000-04,74.814,
2000-07,97.282,
2000-10,104.010,
2001-01,-114.711,
2001-04,46.505,
2001-07,-4.974,
2001-10,-9.061,
2002-01,242.460,
2002-04,48.639,
2002-07,1553.671,
2002-10,-27.678,
2003-01,346.169,
2003-04,235.743,
2003-07,114.207,
2003-10,112.164,
2004-01,658.138,
2004-04,395.635,
2004-07,185.068,
2004-10,61.867,
2005-01,-123.511,
2005-04,8.032,
2005-07,77.362,
2005-10,86.105,
2006-01,-29.850,
2006-04,-62.646,
2006-07,-34.630,
2006-10,129.185,
2007-01,97.102,
2007-04,40.934,
2007-07,337.902,
2007-10,494.723,
2008-01,-215.923,
2008-04,577.828,
2008-07,25.006,
2008-10,141.348,
2009-01,267.147,
2009-04,-263.398,
2009-07,-0.429,
2009-10,14.222,
2010-01,50.849,
2010-04,188.038,
2010-07,263.535,
2010-10,70.607,
2011-01,-460.263,
2011-04,529.530,
2011-07,-144.696,
2011-10,-99.262,
2012-01,-133.485,
2012-04,212.695,
2012-07,-91.390,
2012-10,91.364,
2013-01,-236.520,
2013-04,-91.623,
2013-07,68.905,
2013-10,-203.891,
2014-01,-145.411,Provisional value
2014-04,-113.124,Provisional value
2014-07,-5.007,Provisional value
2014-10,-400.365,Provisional value
