"",BBK01.OEAH72V,BBK01.OEAH72V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:32:11,
2002-01,0.669,
2002-04,0.890,
2002-07,0.804,
2002-10,0.956,
2003-01,0.802,
2003-04,0.891,
2003-07,0.839,
2003-10,0.913,
2004-01,0.855,
2004-04,0.898,
2004-07,0.961,
2004-10,0.950,
2005-01,1.104,
2005-04,1.016,
2005-07,1.475,
2005-10,1.283,
2006-01,1.345,
2006-04,1.424,
2006-07,1.535,
2006-10,1.359,
2007-01,1.380,
2007-04,1.490,
2007-07,1.360,
2007-10,1.102,
2008-01,1.238,
2008-04,1.211,
2008-07,1.842,
2008-10,2.134,
2009-01,3.046,
2009-04,3.791,
2009-07,3.867,
2009-10,3.513,
2010-01,3.473,
2010-04,3.438,
2010-07,3.654,
2010-10,3.302,
2011-01,3.132,
2011-04,2.997,
2011-07,3.056,
2011-10,3.922,
2012-01,4.109,
2012-04,3.987,
2012-07,2.685,
2012-10,2.988,
2013-01,2.520,
2013-04,3.152,
2013-07,2.328,
2013-10,2.351,
2014-01,2.345,
2014-04,2.862,
2014-07,2.588,
