"",BBEX3.M.MKD.EUR.CA.AA.A01,BBEX3.M.MKD.EUR.CA.AA.A01_FLAGS
"",Exchange rates for the euro in Macedonia  / EUR 1 = MKD ... (buying),
unit,MKD (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:19:07,
2006-01,61.1058,
2006-02,60.8782,
2006-03,60.8597,
2006-04,60.8652,
2006-05,60.8782,
2006-06,60.8682,
2006-07,60.8565,
2006-08,60.8613,
2006-09,60.8909,
2006-10,60.8682,
2006-11,60.8709,
2006-12,60.8880,
2007-01,60.9078,
2007-02,60.8714,
2007-03,60.8617,
2007-04,60.8563,
2007-05,60.8860,
2007-06,60.8649,
2007-07,60.8600,
2007-08,60.8657,
2007-09,60.8880,
2007-10,60.8762,
2007-11,60.9870,
2007-12,60.8956,
2008-01,61.1169,
2008-02,60.9276,
2008-03,60.9601,
2008-04,61.0787,
2008-05,60.8614,
2008-06,60.8682,
2008-07,60.8820,
2008-08,60.8584,
2008-09,60.8631,
2008-10,61.1029,
2008-11,61.0960,
2008-12,61.1052,
2009-01,61.1058,
2009-02,61.1058,
2009-03,61.1064,
2009-04,61.1044,
2009-05,61.1057,
2009-06,60.8584,
2009-07,60.8645,
2009-08,60.8702,
2009-09,60.8682,
2009-10,60.8682,
2009-11,60.8682,
2009-12,60.8673,
2010-01,61.0605,
2010-02,61.1983,
2010-03,61.2124,
2010-04,61.2550,
2010-05,61.1950,
2010-06,61.2390,
2010-07,61.2000,
2010-08,61.2735,
2010-09,61.3281,
2010-10,61.2646,
2010-11,61.1969,
2010-12,61.1975,
2011-01,61.1975,
2011-02,61.1975,
2011-03,61.2086,
2011-04,61.2049,
2011-05,61.3060,
2011-06,61.3119,
2011-07,61.2949,
2011-08,61.1988,
2011-09,61.1965,
2011-10,61.1975,
2011-11,61.2038,
2011-12,61.1975,
2012-01,61.1975,
2012-02,61.1925,
2012-03,61.1975,
2012-04,61.2224,
2012-05,61.2733,
2012-06,61.3239,
2012-07,61.2105,
2012-08,61.1938,
2012-09,61.1933,
2012-10,61.1919,
2012-11,61.1929,
2012-12,61.1925,
2013-01,61.2035,
2013-02,61.3102,
2013-03,61.3072,
2013-04,61.3393,
2013-05,61.3442,
2013-06,61.3737,
2013-07,61.2057,
2013-08,61.1994,
2013-09,61.1929,
2013-10,61.2000,
2013-11,61.2180,
2013-12,61.2037,
2014-01,61.3766,
2014-02,61.3774,
2014-03,61.3925,
2014-04,61.3697,
2014-05,61.3675,
2014-06,61.3766,
2014-07,61.1975,
2014-08,61.1896,
2014-09,61.3451,
2014-10,61.3376,
2014-11,61.3865,
2014-12,61.1740,
2015-01,61.2218,
"","General: On 8 April 1993, Macedonia was admitted to the United Nations under the temporary designation ""Former Yugoslavian Republic of Macedonia""; this designation is in use within the European Union until further notice.",
"","Source: National Bank of the Republic of Macedonia, Skopje",
