"",BBFN1.M.DE.N.1.A.B0.S1P.H2.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.B0.S1P.H2.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from advance payments made / Total / EU member states,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:07:10,
1994-07,.,No value available
1994-08,.,No value available
1994-09,.,No value available
1994-10,.,No value available
1994-11,.,No value available
1994-12,.,No value available
1995-01,4.720,
1995-02,4.523,
1995-03,4.646,
1995-04,4.596,
1995-05,4.655,
1995-06,4.672,
1995-07,4.734,
1995-08,4.809,
1995-09,4.718,
1995-10,4.688,
1995-11,4.670,
1995-12,4.401,
1996-01,4.334,
1996-02,4.417,
1996-03,4.507,
1996-04,4.499,
1996-05,4.583,
1996-06,4.510,
1996-07,4.442,
1996-08,4.408,
1996-09,4.447,
1996-10,4.319,
1996-11,4.209,
1996-12,4.472,
1997-01,4.553,
1997-02,4.586,
1997-03,4.600,
1997-04,4.685,
1997-05,4.757,
1997-06,4.500,
1997-07,4.467,
1997-08,4.458,
1997-09,4.508,
1997-10,4.436,
1997-11,4.304,
1997-12,4.117,
1998-01,4.402,
1998-02,4.537,
1998-03,4.342,
1998-04,4.550,
1998-05,4.475,
1998-06,4.300,
1998-07,4.382,
1998-08,4.449,
1998-09,4.668,
1998-10,4.814,
1998-11,4.481,
1998-12,4.487,
1999-01,4.695,
1999-02,4.776,
1999-03,4.804,
1999-04,4.940,
1999-05,4.869,
1999-06,4.587,
1999-07,4.808,
1999-08,4.596,
1999-09,4.546,
1999-10,4.418,
1999-11,4.609,
1999-12,4.675,
2000-01,4.758,
2000-02,4.742,
2000-03,4.746,
2000-04,4.529,
2000-05,4.689,
2000-06,4.294,
2000-07,4.453,
2000-08,4.451,
2000-09,4.439,
2000-10,4.438,
2000-11,4.498,
2000-12,4.203,
2001-01,4.321,
2001-02,4.447,
2001-03,4.401,
2001-04,4.468,
2001-05,4.596,
2001-06,4.514,
2001-07,4.487,
2001-08,5.293,
2001-09,4.954,
2001-10,5.415,
2001-11,5.338,
2001-12,5.503,
2002-01,4.735,
2002-02,5.028,
2002-03,5.495,
2002-04,5.629,
2002-05,5.268,
2002-06,5.300,
2002-07,5.614,
2002-08,5.504,
2002-09,5.302,
2002-10,5.533,
2002-11,4.866,
2002-12,4.476,
2003-01,4.588,
2003-02,4.590,
2003-03,4.735,
2003-04,4.958,
2003-05,4.720,
2003-06,4.683,
2003-07,5.199,
2003-08,4.944,
2003-09,4.866,
2003-10,4.931,
2003-11,4.009,
2003-12,3.692,
2004-01,3.812,
2004-02,4.103,
2004-03,3.749,
2004-04,3.730,
2004-05,4.118,
2004-06,4.125,
2004-07,4.107,
2004-08,4.120,
2004-09,4.109,
2004-10,3.977,
2004-11,3.951,
2004-12,3.796,
2005-01,3.940,
2005-02,3.951,
2005-03,3.977,
2005-04,4.084,
2005-05,4.199,
2005-06,4.083,
2005-07,4.126,
2005-08,4.153,
2005-09,4.282,
2005-10,4.299,
2005-11,4.182,
2005-12,4.247,
2006-01,4.385,
2006-02,4.431,
2006-03,4.568,
2006-04,4.699,
2006-05,4.737,
2006-06,4.724,
2006-07,4.954,
2006-08,4.897,
2006-09,4.812,
2006-10,4.998,
2006-11,5.068,
2006-12,4.907,
2007-01,5.215,
2007-02,5.174,
2007-03,5.285,
2007-04,5.403,
2007-05,5.699,
2007-06,5.692,
2007-07,5.901,
2007-08,5.974,
2007-09,6.047,
2007-10,6.183,
2007-11,6.514,
2007-12,6.439,
2008-01,6.599,
2008-02,6.756,
2008-03,6.572,
2008-04,6.869,
2008-05,6.984,
2008-06,7.232,
2008-07,7.383,
2008-08,7.454,
2008-09,7.569,
2008-10,7.669,
2008-11,7.724,
2008-12,7.488,
2009-01,7.578,
2009-02,7.601,
2009-03,7.479,
2009-04,7.399,
2009-05,7.483,
2009-06,7.409,
2009-07,7.349,
2009-08,7.298,
2009-09,7.063,
2009-10,7.304,
2009-11,7.125,
2009-12,6.994,
2010-01,7.201,
2010-02,7.177,
2010-03,6.992,
2010-04,7.017,
2010-05,7.081,
2010-06,7.035,
2010-07,6.999,
2010-08,7.019,
2010-09,7.125,
2010-10,7.157,
2010-11,7.194,
2010-12,7.227,
2011-01,9.628,
2011-02,9.618,
2011-03,9.539,
2011-04,9.638,
2011-05,9.749,
2011-06,9.772,
2011-07,9.766,
2011-08,9.970,
2011-09,9.886,
2011-10,9.987,
2011-11,9.910,
2011-12,9.884,
2012-01,9.992,
2012-02,9.940,
2012-03,9.831,
2012-04,9.736,
2012-05,9.753,
2012-06,9.850,
2012-07,10.213,
2012-08,10.951,
2012-09,11.098,
2012-10,10.809,
2012-11,10.748,
2012-12,10.474,
2013-01,10.421,
2013-02,10.582,
2013-03,10.525,
2013-04,10.673,
2013-05,10.842,
2013-06,12.309,
2013-07,9.497,
2013-08,8.344,
2013-09,9.947,
2013-10,10.373,
2013-11,10.715,
2013-12,10.527,
2014-01,10.226,
2014-02,10.199,
2014-03,10.226,
2014-04,10.282,
2014-05,10.722,
2014-06,10.494,
2014-07,10.588,
2014-08,10.614,
2014-09,10.466,
2014-10,10.756,
2014-11,10.537,
2014-12,10.611,
"","General: From 1995, including Austria, Finland and Sweden; up to December 2002, including Guernsey, Jersey and the Isle of Man; from May 2004, including Cyprus, the Czech Republic, Estonia, Hungary, Latvia, Lithuania, Malta, Poland, the Slovak Republic and Slovenia; from January 2007, including Bulgaria and Romania.",
