"",BBEX3.M.STD.EUR.CA.AC.A01,BBEX3.M.STD.EUR.CA.AC.A01_FLAGS
"",Exchange rates for the euro in Sao Tome and Principe / EUR 1 = STD ... (middle),
unit,STD (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:21:06,
1999-01,8033.070,
1999-02,8033.070,
1999-03,8033.070,
1999-04,7528.840,
1999-05,7440.090,
1999-06,7462.080,
1999-07,7689.600,
1999-08,7526.880,
1999-09,7547.760,
1999-10,7689.820,
1999-11,7356.210,
1999-12,7352.560,
2000-01,7238.280,
2000-02,7212.555,
2000-03,7118.400,
2000-04,6871.770,
2000-05,7229.830,
2000-06,7813.720,
2000-07,7602.080,
2000-08,7308.520,
2000-09,7275.435,
2000-10,7402.705,
2000-11,7476.745,
2000-12,7994.985,
2001-01,7904.150,
2001-02,7842.440,
2001-03,7775.930,
2001-04,7973.940,
2001-05,7675.530,
2001-06,7639.365,
2001-07,7820.980,
2001-08,8048.260,
2001-09,8169.455,
2001-10,8118.625,
2001-11,8010.570,
2001-12,7949.075,
2002-01,7852.055,
2002-02,7744.480,
2002-03,7885.530,
2002-04,8145.625,
2002-05,8456.415,
2002-06,8911.740,
2002-07,8941.380,
2002-08,8953.035,
2002-09,8996.155,
2002-10,9041.735,
2002-11,9135.635,
2002-12,9578.595,
2003-01,9870.020,
2003-02,10015.720,
2003-03,9982.975,
2003-04,10194.870,
2003-05,10935.455,
2003-06,10659.000,
2003-07,10651.485,
2003-08,10275.300,
2003-09,10786.870,
2003-10,11102.915,
2003-11,11304.730,
2003-12,11816.080,
2004-01,11856.725,
2004-02,11892.940,
2004-03,11383.220,
2004-04,11581.545,
2004-05,12149.125,
2004-06,12162.860,
2004-07,12091.365,
2004-08,12195.840,
2004-09,12517.690,
2004-10,12797.800,
2004-11,13397.585,
2004-12,13745.430,
2005-01,13193.830,
2005-02,13340.735,
2005-03,13144.195,
2005-04,13144.310,
2005-05,12703.725,
2005-06,12278.200,
2005-07,12378.130,
2005-08,12534.095,
2005-09,13034.070,
2005-10,13894.045,
2005-11,13929.280,
2005-12,14106.875,
2006-01,14685.775,
2006-02,14363.320,
2006-03,14211.295,
2006-04,14824.185,
2006-05,15973.375,
2006-06,15770.515,
2006-07,15952.910,
2006-08,16190.105,
2006-09,16112.380,
2006-10,16458.830,
2006-11,17118.625,
2006-12,17222.300,
2007-01,16987.300,
2007-02,17583.810,
2007-03,17752.005,
2007-04,18341.795,
2007-05,18111.200,
2007-06,18178.275,
2007-07,18442.660,
2007-08,18359.880,
2007-09,19488.150,
2007-10,19814.315,
2007-11,20771.750,
2007-12,21101.150,
2008-01,21651.575,
2008-02,22106.140,
2008-03,23286.960,
2008-04,22945.310,
2008-05,22880.690,
2008-06,23036.795,
2008-07,22762.710,
2008-08,21621.095,
2008-09,21236.970,
2008-10,19190.975,
2008-11,18977.615,
2008-12,21468.595,
2009-01,21919.325,
2009-02,21939.665,
2009-03,21940.525,
2009-04,21946.020,
2009-05,21980.260,
2009-06,21909.245,
2009-07,21977.030,
2009-08,22566.865,
2009-09,23468.435,
2009-10,23994.705,
2009-11,24093.310,
2009-12,24108.615,
2010-01,24500.000,
2010-02,24500.000,
2010-03,24500.000,
2010-04,24500.000,
2010-05,24500.000,
2010-06,24500.000,
2010-07,24500.000,
2010-08,24500.000,
2010-09,24500.000,
2010-10,24500.000,
2010-11,24500.000,
2010-12,24500.000,
2011-01,24500.000,
2011-02,24500.000,
2011-03,24500.000,
2011-04,24500.000,
2011-05,24500.000,
2011-06,24500.000,
2011-07,24500.000,
2011-08,24500.000,
2011-09,24500.000,
2011-10,24500.000,
2011-11,24500.000,
2011-12,24500.000,
2012-01,24500.000,
2012-02,24500.000,
2012-03,24500.000,
2012-04,24500.000,
2012-05,24500.000,
2012-06,24500.000,
2012-07,24500.000,
2012-08,24500.000,
2012-09,24500.000,
2012-10,24500.000,
2012-11,24500.000,
2012-12,24500.000,
2013-01,24500.000,
2013-02,24500.000,
2013-03,24500.000,
2013-04,24500.000,
2013-05,24500.000,
2013-06,24500.000,
2013-07,24500.000,
2013-08,24500.000,
2013-09,24500.000,
2013-10,24500.000,
2013-11,24500.000,
2013-12,24500.000,
2014-01,24500.000,
2014-02,24500.000,
2014-03,24500.000,
2014-04,24500.000,
2014-05,24500.000,
2014-06,24500.000,
2014-07,24500.000,
2014-08,24500.000,
2014-09,24500.000,
2014-10,24500.000,
2014-11,24500.000,
2014-12,24500.000,
2015-01,24500.000,
2015-02,24500.000,
"","General: The unit of account for 1,000 dobras is 1 conto.",
"","Source: Calculated on the basis of the buying and selling rates of the Banco Central de São Tomé e Príncipe, São Tomé.",
