"",BBK01.CEBD0I,BBK01.CEBD0I_FLAGS
"",Currency and transferable deposits debtor: All sectors                    creditor: Households and non-profit institutions serving households,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:22:02,
1991-01,161.7,
1991-04,168.3,
1991-07,171.2,
1991-10,180.3,
1992-01,173.6,
1992-04,180.8,
1992-07,185.2,
1992-10,205.3,
1993-01,194.8,
1993-04,202.6,
1993-07,206.2,
1993-10,228.4,
1994-01,214.9,
1994-04,223.4,
1994-07,223.1,
1994-10,235.3,
1995-01,222.2,
1995-04,229.8,
1995-07,232.7,
1995-10,248.4,
1996-01,247.1,
1996-04,255.3,
1996-07,257.1,
1996-10,272.3,
1997-01,269.3,
1997-04,275.8,
1997-07,276.5,
1997-10,283.1,
1998-01,285.4,
1998-04,293.9,
1998-07,293.1,
1998-10,311.5,
1999-01,311.2,
1999-04,326.3,
1999-07,327.7,
1999-10,338.1,
2000-01,345.7,
2000-04,340.3,
2000-07,334.1,
2000-10,340.3,
2001-01,344.8,
2001-04,354.6,
2001-07,356.0,
2001-10,349.2,
2002-01,368.5,
2002-04,393.0,
2002-07,401.5,
2002-10,432.1,
2003-01,448.9,
2003-04,469.4,
2003-07,480.1,
2003-10,497.7,
2004-01,506.9,
2004-04,521.1,
2004-07,526.0,
2004-10,542.4,
2005-01,552.7,
2005-04,568.9,
2005-07,575.2,
2005-10,591.5,
2006-01,594.0,
2006-04,604.9,
2006-07,597.7,
2006-10,611.2,
2007-01,611.5,
2007-04,629.7,
2007-07,632.1,
2007-10,649.3,
2008-01,644.3,
2008-04,646.3,
2008-07,645.4,
2008-10,695.3,
2009-01,744.8,
2009-04,781.2,
2009-07,808.9,
2009-10,845.6,
2010-01,864.2,
2010-04,887.0,
2010-07,893.7,
2010-10,914.1,
2011-01,912.4,
2011-04,923.6,
2011-07,932.2,
2011-10,953.3,
2012-01,966.1,
2012-04,992.7,
2012-07,1020.9,
2012-10,1056.9,
2013-01,1077.9,
2013-04,1107.5,
2013-07,1128.3,
2013-10,1159.9,
2014-01,1171.1,
