"",BBSF2.M.1.T.00000.DGE01.I.F.MAK.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.DGE01.I.F.MAK.Z5.00000.000000.Z01.00_FLAGS
"",Funds total / Funds-of-funds: Mixed funds / Net sales receipts,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:47:10,
2009-09,62,
2009-10,330,
2009-11,5,
2009-12,-39,
2010-01,51,
2010-02,18,
2010-03,18,
2010-04,44,
2010-05,4,
2010-06,36,
2010-07,-19,
2010-08,3454,
2010-09,56,
2010-10,4,
2010-11,-59,
2010-12,73,
2011-01,106,
2011-02,-73,
2011-03,-3,
2011-04,-14,
2011-05,69,
2011-06,180,
2011-07,-30,
2011-08,15,
2011-09,41,
2011-10,-13,
2011-11,-19,
2011-12,319,
2012-01,-16,
2012-02,-1,
2012-03,114,
2012-04,18,
2012-05,55,
2012-06,36,
2012-07,8684,
2012-08,37,
2012-09,43,
2012-10,911,
2012-11,63,
2012-12,253,
2013-01,572,
2013-02,63,
2013-03,246,
2013-04,82,
2013-05,99,
2013-06,155,
2013-07,132,
2013-08,114,
2013-09,183,
2013-10,230,
2013-11,269,
2013-12,654,
2014-01,103,
2014-02,89,
2014-03,327,
2014-04,67,
2014-05,70,
2014-06,240,
2014-07,172,
2014-08,138,
2014-09,90,
2014-10,140,
2014-11,386,
