"",BBSF2.M.1.P.00000.GEM01.I.F.SVB.U201.00000.F33200.Z01.M1,BBSF2.M.1.P.00000.GEM01.I.F.SVB.U201.00000.F33200.Z01.M1_FLAGS
"","Public funds / Mixed securities funds / Long-term debt securities / Euro area member states excluding Germany (changing composition, Bundesbank calculation)",
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:40:53,
2009-09,3405,
2009-10,3524,
2009-11,3677,
2009-12,3734,
2010-01,3940,
2010-02,4234,
2010-03,4525,
2010-04,4443,
2010-05,4561,
2010-06,4765,
2010-07,5016,
2010-08,5239,
2010-09,5281,
2010-10,5364,
2010-11,5223,
2010-12,5042,
2011-01,5011,
2011-02,5128,
2011-03,5170,
2011-04,5069,
2011-05,5057,
2011-06,5034,
2011-07,5061,
2011-08,4726,
2011-09,4599,
2011-10,4546,
2011-11,4348,
2011-12,4295,
2012-01,4529,
2012-02,4719,
2012-03,4789,
2012-04,4920,
2012-05,5014,
2012-06,5045,
2012-07,5092,
2012-08,5214,
2012-09,5356,
2012-10,5476,
2012-11,5668,
2012-12,5698,
2013-01,5979,
2013-02,6089,
2013-03,6255,
2013-04,6290,
2013-05,6345,
2013-06,6824,
2013-07,6941,
2013-08,6924,
2013-09,7039,
2013-10,7014,
2013-11,6923,
2013-12,7068,
2014-01,7390,
2014-02,7611,
2014-03,7845,
2014-04,8077,
2014-05,8302,
2014-06,8490,
2014-07,8606,
2014-08,9514,
2014-09,9200,
2014-10,9163,
2014-11,9493,
