"",BBK01.OEBB08O,BBK01.OEBB08O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:33:50,
2002-01,-26.951,
2002-04,-27.429,
2002-07,-27.990,
2002-10,-27.148,
2003-01,-26.854,
2003-04,-27.112,
2003-07,-27.337,
2003-10,-26.689,
2004-01,-26.873,
2004-04,-27.922,
2004-07,-29.308,
2004-10,-28.760,
2005-01,6.812,
2005-04,6.831,
2005-07,6.793,
2005-10,6.825,
2006-01,6.764,
2006-04,6.636,
2006-07,6.642,
2006-10,6.642,
2007-01,6.656,
2007-04,6.815,
2007-07,6.788,
2007-10,6.744,
2008-01,6.729,
2008-04,6.726,
2008-07,6.773,
2008-10,6.748,
2009-01,7.623,
2009-04,8.066,
2009-07,8.052,
2009-10,7.984,
2010-01,7.627,
2010-04,7.618,
2010-07,7.985,
2010-10,7.917,
2011-01,7.520,
2011-04,7.486,
2011-07,7.443,
2011-10,7.372,
2012-01,7.388,
2012-04,7.353,
2012-07,7.365,
2012-10,7.382,
2013-01,7.407,
2013-04,7.458,
2013-07,7.539,
2013-10,7.569,
2014-01,7.620,
2014-04,7.716,
2014-07,7.732,
