"",BBK01.OEHB13R,BBK01.OEHB13R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:38:00,
2002-01,2.030,
2002-04,2.040,
2002-07,2.033,
2002-10,2.050,
2003-01,2.014,
2003-04,2.014,
2003-07,1.995,
2003-10,1.994,
2004-01,1.925,
2004-04,1.901,
2004-07,1.872,
2004-10,1.881,
2005-01,1.835,
2005-04,1.805,
2005-07,1.782,
2005-10,1.767,
2006-01,1.739,
2006-04,1.719,
2006-07,1.690,
2006-10,1.680,
2007-01,1.635,
2007-04,1.617,
2007-07,1.591,
2007-10,1.592,
2008-01,1.579,
2008-04,1.580,
2008-07,1.557,
2008-10,1.556,
2009-01,1.545,
2009-04,1.542,
2009-07,1.534,
2009-10,1.518,
2010-01,1.489,
2010-04,1.483,
2010-07,1.464,
2010-10,1.470,
2011-01,1.465,
2011-04,1.465,
2011-07,1.450,
2011-10,1.449,
2012-01,1.453,
2012-04,1.457,
2012-07,1.445,
2012-10,1.458,
2013-01,1.453,
2013-04,1.454,
2013-07,1.469,
2013-10,1.477,
2014-01,1.473,
2014-04,1.487,
2014-07,1.486,
