"",BBK01.OEBI08J,BBK01.OEBI08J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:53:00,
2002-01,0.628,
2002-04,0.525,
2002-07,0.507,
2002-10,0.524,
2003-01,0.526,
2003-04,0.526,
2003-07,0.542,
2003-10,0.532,
2004-01,0.503,
2004-04,0.487,
2004-07,0.524,
2004-10,0.530,
2005-01,0.826,
2005-04,0.830,
2005-07,0.814,
2005-10,0.808,
2006-01,0.802,
2006-04,0.792,
2006-07,0.775,
2006-10,0.780,
2007-01,0.788,
2007-04,0.785,
2007-07,0.770,
2007-10,0.777,
2008-01,0.767,
2008-04,0.755,
2008-07,0.729,
2008-10,0.753,
2009-01,0.767,
2009-04,0.796,
2009-07,0.905,
2009-10,0.901,
2010-01,0.904,
2010-04,0.883,
2010-07,0.879,
2010-10,0.893,
2011-01,0.884,
2011-04,0.852,
2011-07,0.836,
2011-10,0.838,
2012-01,0.920,
2012-04,0.904,
2012-07,0.904,
2012-10,0.922,
2013-01,0.878,
2013-04,0.863,
2013-07,0.847,
2013-10,0.857,
2014-01,0.841,
2014-04,0.828,
2014-07,0.835,
