"",BBK01.OEAB16N,BBK01.OEAB16N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:32:32,
2002-01,70.951,
2002-04,71.515,
2002-07,71.832,
2002-10,71.932,
2003-01,71.167,
2003-04,70.551,
2003-07,70.760,
2003-10,69.519,
2004-01,69.177,
2004-04,69.248,
2004-07,69.256,
2004-10,67.906,
2005-01,68.338,
2005-04,68.718,
2005-07,68.919,
2005-10,69.534,
2006-01,71.699,
2006-04,72.420,
2006-07,72.680,
2006-10,73.015,
2007-01,72.925,
2007-04,73.091,
2007-07,72.634,
2007-10,72.826,
2008-01,73.098,
2008-04,73.773,
2008-07,74.092,
2008-10,74.169,
2009-01,73.898,
2009-04,75.444,
2009-07,75.894,
2009-10,75.903,
2010-01,75.947,
2010-04,76.771,
2010-07,77.191,
2010-10,77.425,
2011-01,77.486,
2011-04,77.767,
2011-07,78.267,
2011-10,79.224,
2012-01,79.308,
2012-04,70.006,
2012-07,70.369,
2012-10,70.531,
2013-01,70.477,
2013-04,70.724,
2013-07,71.452,
2013-10,71.545,
2014-01,71.819,
2014-04,71.882,
2014-07,72.229,
