"",BBFB1.M.N.DE.W1.S13.S1.T.LI.FA.P.F3.L._T.M.N,BBFB1.M.N.DE.W1.S13.S1.T.LI.FA.P.F3.L._T.M.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Portfolio investment / Long-term debt-securities / Public issuers / Purchases / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:51:10,
1991-01,17251.795,
1991-02,22285.681,
1991-03,14525.306,
1991-04,13183.628,
1991-05,13511.334,
1991-06,12007.787,
1991-07,15054.413,
1991-08,17873.096,
1991-09,12449.906,
1991-10,19022.196,
1991-11,16019.850,
1991-12,15416.253,
1992-01,29936.384,
1992-02,16951.882,
1992-03,15198.603,
1992-04,13481.967,
1992-05,12541.634,
1992-06,14987.952,
1992-07,22763.151,
1992-08,21805.464,
1992-09,44905.856,
1992-10,50203.686,
1992-11,43790.224,
1992-12,47728.669,
1993-01,53105.711,
1993-02,59066.435,
1993-03,62617.411,
1993-04,50896.970,
1993-05,54183.558,
1993-06,65789.325,
1993-07,81289.381,
1993-08,69679.136,
1993-09,89315.458,
1993-10,89061.341,
1993-11,91217.572,
1993-12,93311.279,
1994-01,79620.150,
1994-02,67637.044,
1994-03,97217.920,
1994-04,62742.587,
1994-05,70463.463,
1994-06,82392.108,
1994-07,69689.272,
1994-08,65166.262,
1994-09,86158.553,
1994-10,61046.802,
1994-11,60380.521,
1994-12,52452.847,
1995-01,64688.826,
1995-02,71553.444,
1995-03,100997.826,
1995-04,64409.587,
1995-05,89659.310,
1995-06,91136.098,
1995-07,66292.666,
1995-08,73497.647,
1995-09,82151.825,
1995-10,77662.045,
1995-11,87447.734,
1995-12,78894.585,
1996-01,101238.652,
1996-02,88037.473,
1996-03,82599.245,
1996-04,67555.454,
1996-05,71324.693,
1996-06,78418.946,
1996-07,81915.328,
1996-08,89210.779,
1996-09,93708.016,
1996-10,85692.336,
1996-11,81521.693,
1996-12,79372.343,
1997-01,111008.627,
1997-02,93550.468,
1997-03,89435.408,
1997-04,93785.746,
1997-05,77231.882,
1997-06,106502.593,
1997-07,113746.885,
1997-08,107482.654,
1997-09,117708.521,
1997-10,123512.486,
1997-11,98135.792,
1997-12,104765.598,
1998-01,133934.787,
1998-02,96968.075,
1998-03,113369.568,
1998-04,105561.125,
1998-05,80297.545,
1998-06,108953.632,
1998-07,112562.266,
1998-08,129515.854,
1998-09,146257.536,
1998-10,119325.795,
1998-11,99995.050,
1998-12,79815.131,
1999-01,86916.167,
1999-02,74749.119,
1999-03,107505.098,
1999-04,82538.706,
1999-05,67011.823,
1999-06,92565.724,
1999-07,85833.331,
1999-08,77965.102,
1999-09,88471.232,
1999-10,91912.891,
1999-11,82954.867,
1999-12,60710.085,
2000-01,71220.409,
2000-02,70310.934,
2000-03,91616.146,
2000-04,49515.159,
2000-05,82131.314,
2000-06,88763.447,
2000-07,58409.699,
2000-08,61870.028,
2000-09,90285.268,
2000-10,81593.883,
2000-11,72615.672,
2000-12,79480.256,
2001-01,97627.491,
2001-02,93548.501,
2001-03,136786.529,
2001-04,75866.980,
2001-05,79827.794,
2001-06,112319.767,
2001-07,75633.769,
2001-08,90249.601,
2001-09,107140.746,
2001-10,87772.875,
2001-11,98733.838,
2001-12,66511.640,
2002-01,97483.470,
2002-02,69648.663,
2002-03,85045.229,
2002-04,70181.053,
2002-05,65974.040,
2002-06,75703.853,
2002-07,86887.883,
2002-08,82334.631,
2002-09,83855.297,
2002-10,98288.929,
2002-11,76120.501,
2002-12,82514.707,
2003-01,94955.600,
2003-02,77115.747,
2003-03,120682.804,
2003-04,75699.001,
2003-05,87864.615,
2003-06,106558.042,
2003-07,94755.129,
2003-08,88638.185,
2003-09,97975.615,
2003-10,100974.691,
2003-11,73433.619,
2003-12,72769.236,
2004-01,99753.352,
2004-02,95115.760,
2004-03,123146.887,
2004-04,75623.986,
2004-05,72903.538,
2004-06,83222.634,
2004-07,85406.610,
2004-08,73691.804,
2004-09,94858.169,
2004-10,70318.917,
2004-11,85336.890,
2004-12,92752.669,
2005-01,102118.046,
2005-02,90045.585,
2005-03,101452.674,
2005-04,83402.619,
2005-05,75755.990,
2005-06,132336.016,
2005-07,72522.244,
2005-08,73013.454,
2005-09,102793.484,
2005-10,102605.808,
2005-11,88356.399,
2005-12,93529.293,
2006-01,94640.592,
2006-02,78688.513,
2006-03,119884.107,
2006-04,67862.126,
2006-05,80402.402,
2006-06,89471.616,
2006-07,66435.526,
2006-08,65856.071,
2006-09,104649.051,
2006-10,73223.670,
2006-11,69254.943,
2006-12,77604.389,
2007-01,75421.547,
2007-02,61334.663,
2007-03,95785.640,
2007-04,55126.684,
2007-05,60549.745,
2007-06,97986.632,
2007-07,78152.198,
2007-08,81278.189,
2007-09,95184.094,
2007-10,84763.394,
2007-11,79051.309,
2007-12,75176.605,
2008-01,83838.674,
2008-02,76113.226,
2008-03,100509.481,
2008-04,59004.097,
2008-05,60092.387,
2008-06,104349.607,
2008-07,65910.741,
2008-08,56676.508,
2008-09,85582.177,
2008-10,86094.461,
2008-11,58588.813,
2008-12,53737.838,
2009-01,52854.330,
2009-02,44511.806,
2009-03,68158.457,
2009-04,44043.268,
2009-05,57980.375,
2009-06,80240.236,
2009-07,43549.406,
2009-08,36445.522,
2009-09,66389.659,
2009-10,52747.757,
2009-11,53372.119,
2009-12,64254.424,
2010-01,59570.364,
2010-02,61235.565,
2010-03,86727.134,
2010-04,87012.389,
2010-05,98297.085,
2010-06,71767.387,
2010-07,61931.998,
2010-08,56118.545,
2010-09,80934.186,
2010-10,66873.793,
2010-11,72804.918,
2010-12,59386.976,
2011-01,65753.756,
2011-02,65742.479,
2011-03,81096.183,
2011-04,77527.630,
2011-05,76776.089,
2011-06,74620.752,
2011-07,70658.693,
2011-08,72481.616,
2011-09,70214.505,
2011-10,63178.221,
2011-11,64582.050,
2011-12,54426.776,
2012-01,66725.959,
2012-02,70605.002,
2012-03,79077.711,
2012-04,63946.331,
2012-05,69547.450,
2012-06,73593.559,
2012-07,70925.166,
2012-08,58198.866,
2012-09,72105.946,
2012-10,70049.871,
2012-11,66714.740,
2012-12,56209.724,
2013-01,76070.378,
2013-02,63483.081,
2013-03,72216.171,
2013-04,64757.359,
2013-05,59204.666,
2013-06,73840.111,
2013-07,56024.622,
2013-08,46646.126,
2013-09,65008.323,
2013-10,64690.136,
2013-11,63663.583,
2013-12,52035.921,
2014-01,57713.245,
2014-02,61731.991,Provisional value
2014-03,61901.670,Provisional value
2014-04,53232.603,Provisional value
2014-05,63737.857,Provisional value
2014-06,61987.301,Provisional value
2014-07,54251.369,Provisional value
2014-08,43179.309,Provisional value
2014-09,67552.998,
2014-10,57837.773,
2014-11,44336.750,
2014-12,51267.218,Provisional value
